,precision,recall,f1-score,support
econ,0.6614981436994977,0.781274181067836,0.716414380321665,3877.0
water,0.8230822391154112,0.794,0.8082796063793688,1500.0
others,0.7307192936899507,0.6253333333333333,0.6739312657166806,4500.0
accuracy,0.7121595626202288,0.7121595626202288,0.7121595626202288,0.7121595626202288
macro avg,0.7384332255016198,0.7335358381337231,0.7328750841392382,9877.0
weighted avg,0.7175750210996099,0.7121595626202288,0.7110102923763503,9877.0
