,precision,recall,f1-score,support
econ,0.7001044932079414,0.8933333333333333,0.7850029291154071,6000.0
water,0.8082004555808656,0.7884444444444444,0.7982002249718785,2250.0
others,0.7154191100379441,0.4608888888888889,0.5606162994999324,4500.0
accuracy,0.7221960784313726,0.7221960784313726,0.7221960784313726,0.7221960784313726
macro avg,0.7412413529422505,0.7142222222222222,0.7146064845290727,12750.0
weighted avg,0.7245854101549289,0.7221960784313726,0.7081365826375581,12750.0
