class,precision,recall,f1-score,support
econ,0.7051915120779394,0.6815426286598736,0.6931654204381477,7753.0
water,0.7986946066643765,0.775,0.7866689223481644,3000.0
others,0.6903412129639533,0.7171111111111111,0.7034715788326339,9000.0
accuracy,0.7119424897483927,0.7119424897483927,0.7119424897483927,
macro avg,0.7314091105687565,0.7245512465903282,0.7277686405396486,19753.0
weighted avg,0.7126261595610275,0.7119424897483927,0.7120620908821523,19753.0
