SUBCLASS_LABEL,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median
1,386441,-0.37224239110946655,-0.38729551434516907,-0.3678613305091858,-0.38158655166625977,-0.3471185564994812,-0.36085325479507446,2.2352049350738525,2.2810802459716797,2.1217870712280273,2.204582691192627,2.095630168914795,2.1713361740112305,0.8120819926261902,0.8388671875,0.837013304233551,0.8564453125,0.82224041223526,0.844970703125,3.825584650039673,3.7920000553131104,4861.41357421875,4.046875,4.2961626052856445,4.15807580947876,-0.47248148918151855,-0.4916529655456543,-0.4588244557380676,-0.47493070363998413,-0.4389282464981079,-0.45630499720573425,0.696049153804779,0.722576916217804,0.7269050478935242,0.748735249042511,0.7077377438545227,0.7316948175430298,-0.6369173526763916,-0.6559856534004211,-0.6762053966522217,-0.6866974830627441,-0.6642767190933228,-0.6767270565032959,0.3559548556804657,0.33675867319107056,0.3839729130268097,0.3559812009334564,0.4038398563861847,0.37242668867111206,-0.5114818215370178,-0.5310208201408386,-0.4936678111553192,-0.5089622735977173,-0.4781617820262909,-0.49534884095191956
2,10559027,-0.43905186653137207,-0.4547765254974365,-0.4445151388645172,-0.457906574010849,-0.39660143852233887,-0.4132460355758667,2.47448468208313,2.679716110229492,2.4009602069854736,2.6460838317871094,2.316706895828247,2.5875983238220215,0.9042540788650513,0.885498046875,0.9473634958267212,0.902099609375,0.9041931629180908,0.87744140625,3.9026026725769043,4.025817394256592,3.9606406688690186,3.9298245906829834,3.725388765335083,3.652087450027466,-0.488925963640213,-0.5338713526725769,-0.4946559965610504,-0.5265348553657532,-0.46222934126853943,-0.4903790056705475,0.7818487882614136,0.7945244312286377,0.844105064868927,0.8216726183891296,0.7882930636405945,0.7815631031990051,-0.6089387536048889,-0.6970421075820923,-0.667829155921936,-0.7212522625923157,-0.6189859509468079,-0.6875723004341125,0.2901068925857544,0.2999342978000641,0.321058452129364,0.3101552426815033,0.350737988948822,0.3396291136741638,-0.510420024394989,-0.5704365372657776,-0.5140722393989563,-0.5572407245635986,-0.48589009046554565,-0.5275862216949463
3,1167549,-0.36943867802619934,-0.38231799006462097,-0.29617440700531006,-0.30598053336143494,-0.21966636180877686,-0.2196502983570099,2.08927321434021,2.1357667446136475,1.791211485862732,1.864264726638794,1.6491550207138062,1.7003867626190186,0.7929376363754272,0.825927734375,0.7522518038749695,0.79638671875,0.7019482254981995,0.748779296875,3.247755289077759,3.1355931758880615,3.0178232192993164,2.8641974925994873,2.913357973098755,2.7561984062194824,-0.4852134585380554,-0.4956693947315216,-0.40709739923477173,-0.41689786314964294,-0.3234701156616211,-0.3245179057121277,0.671871542930603,0.7035490870475769,0.6240637302398682,0.6614837646484375,0.5630462169647217,0.5983263850212097,-0.613896369934082,-0.6319416165351868,-0.5935632586479187,-0.6142963767051697,-0.5547400116920471,-0.5733688473701477,0.36110544204711914,0.3368055522441864,0.4495762586593628,0.4111374318599701,0.5553791522979736,0.5096633434295654,-0.5174252986907959,-0.5287107229232788,-0.4399169087409973,-0.4516128897666931,-0.36139973998069763,-0.36529338359832764
4,15860,-0.41568663716316223,-0.4338967800140381,-0.4300912022590637,-0.46150508522987366,-0.3960283398628235,-0.43481940031051636,2.337785005569458,2.385937452316284,2.2754297256469727,2.3993234634399414,2.1174581050872803,2.328979969024658,0.835356593132019,0.860107421875,0.8604838848114014,0.883056640625,0.8376967906951904,0.873046875,4.076203346252441,4.093038558959961,4.424328804016113,4.385138511657715,4.510839939117432,4.532964706420898,-0.5146942734718323,-0.5360187292098999,-0.5192273855209351,-0.5522127151489258,-0.48625096678733826,-0.527769923210144,0.7270039916038513,0.7545287609100342,0.7615894675254822,0.7905312776565552,0.7329396605491638,0.7748085260391235,-0.6602280735969543,-0.6808143258094788,-0.6970492005348206,-0.7127672433853149,-0.6805710792541504,-0.7028584480285645,0.3231316804885864,0.30038708448410034,0.32924988865852356,0.288483202457428,0.3562604486942291,0.3067229390144348,-0.5515732169151306,-0.571101188659668,-0.550666332244873,-0.5825763940811157,-0.522292971611023,-0.5606663227081299
