LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median
2101,163531,-0.35523971915245056,-0.36664044857025146,-0.24262845516204834,-0.24884793162345886,-0.14849220216274261,-0.13495488464832306,2.4055140018463135,2.316160202026367,1.6457701921463013,1.6759345531463623,1.435078501701355,1.3586866855621338,0.7345417737960815,0.7841796875,0.6907679438591003,0.732666015625,0.6456567049026489,0.6741943359375,2.5239853858947754,2.5462183952331543,2.328829765319824,2.286764621734619,2.3807365894317627,2.2880561351776123,-0.4929814636707306,-0.5065053701400757,-0.36688706278800964,-0.3809320330619812,-0.2487647831439972,-0.25216418504714966,0.6050992012023926,0.6450191140174866,0.547623872756958,0.5780470371246338,0.49881917238235474,0.508520781993866,-0.5272437930107117,-0.5572088360786438,-0.5214680433273315,-0.53915935754776,-0.4999452531337738,-0.5105244517326355,0.3451804518699646,0.3274034857749939,0.48107025027275085,0.4473133385181427,0.6432899236679077,0.5971962809562683,-0.5295193195343018,-0.5423770546913147,-0.4094463586807251,-0.42507368326187134,-0.30042076110839844,-0.3075386881828308
2204,491982,-0.34817224740982056,-0.36347484588623047,-0.2683318853378296,-0.28413456678390503,-0.17480626702308655,-0.16657111048698425,2.0842981338500977,2.1724984645843506,1.8373832702636719,1.9265475273132324,1.6116498708724976,1.6480512619018555,0.8020198345184326,0.833984375,0.7505511045455933,0.7998046875,0.6878067851066589,0.735595703125,3.46028995513916,3.3531203269958496,3.192869186401367,3.0398764610290527,2.9260663986206055,2.7681729793548584,-0.4498082101345062,-0.4636742174625397,-0.36594507098197937,-0.38320910930633545,-0.2647608518600464,-0.2573985755443573,0.6835665702819824,0.7152833938598633,0.6241846680641174,0.6662053465843201,0.5485075116157532,0.5817626714706421,-0.6260808706283569,-0.6426366567611694,-0.5938271880149841,-0.6184055209159851,-0.5450923442840576,-0.564838171005249,0.39353707432746887,0.36572325229644775,0.49220579862594604,0.4454292953014374,0.6243263483047485,0.5901182889938354,-0.483763188123703,-0.4981290400028229,-0.3999592065811157,-0.41858601570129395,-0.30426499247550964,-0.30034035444259644
2205,512036,-0.3944321572780609,-0.4096755385398865,-0.34002214670181274,-0.3552732467651367,-0.28550460934638977,-0.30605950951576233,1.9930144548416138,2.0644454956054688,1.793165922164917,1.8594796657562256,1.7535638809204102,1.8175163269042969,0.8027979135513306,0.829833984375,0.7734489440917969,0.809814453125,0.7335391044616699,0.7734375,3.2745320796966553,3.142054557800293,3.0696887969970703,2.912692070007324,3.071305513381958,2.9120261669158936,-0.5167160034179688,-0.5296136140823364,-0.45949655771255493,-0.4783642888069153,-0.4037438631057739,-0.43059515953063965,0.6819984316825867,0.7091805338859558,0.6483968496322632,0.680361270904541,0.5975255966186523,0.6304082274436951,-0.6298643946647644,-0.6421961784362793,-0.6162927150726318,-0.6318584084510803,-0.5815383195877075,-0.597187340259552,0.33501970767974854,0.3073503375053406,0.39858266711235046,0.3528445363044739,0.4610486626625061,0.3978561758995056,-0.5458871722221375,-0.5593774318695068,-0.48804160952568054,-0.5069522857666016,-0.43576693534851074,-0.46317949891090393
2302,10144919,-0.43421992659568787,-0.45330607891082764,-0.4398093819618225,-0.45623403787612915,-0.39266860485076904,-0.41141587495803833,2.4857938289642334,2.6791131496429443,2.4150359630584717,2.6458094120025635,2.3227553367614746,2.58371901512146,0.8995482325553894,0.885009765625,0.9443846940994263,0.901611328125,0.9016087651252747,0.876953125,3.8499186038970947,4.00220251083374,3.895326852798462,3.906764268875122,3.6397628784179688,3.625201940536499,-0.48530277609825134,-0.5324535369873047,-0.49090486764907837,-0.5249003767967224,-0.45770877599716187,-0.4884878695011139,0.7771327495574951,0.7937131524085999,0.8385944962501526,0.8208954930305481,0.7843430042266846,0.7808133959770203,-0.6110008955001831,-0.6961869597434998,-0.6697061061859131,-0.7204301357269287,-0.62105393409729,-0.6867294907569885,0.29250606894493103,0.3010543882846832,0.3242855668067932,0.3115594983100891,0.3536284565925598,0.341269850730896,-0.5079824924468994,-0.5691681504249573,-0.5113006830215454,-0.5557711124420166,-0.4825052320957184,-0.525940477848053
2303,405703,-0.5176984071731567,-0.5496894121170044,-0.5267112255096436,-0.571731448173523,-0.4779263138771057,-0.5258913636207581,2.6141624450683594,2.697106122970581,2.515995740890503,2.6561455726623535,2.552715301513672,2.6947739124298096,0.8819143772125244,0.90380859375,0.8964716196060181,0.9208984375,0.8655294179916382,0.893310546875,5.327842712402344,5.214669227600098,5.510429859161377,5.37294340133667,5.503530502319336,5.414798259735107,-0.6069425344467163,-0.6405243277549744,-0.603830099105835,-0.6498054265975952,-0.5668505430221558,-0.6180101633071899,0.7948247194290161,0.8246299624443054,0.8190746903419495,0.8535606861114502,0.7716308832168579,0.8070929646492004,-0.7118642926216125,-0.7301006317138672,-0.7385770082473755,-0.7561101317405701,-0.6997958421707153,-0.7195972204208374,0.24910344183444977,0.21866056323051453,0.2582818567752838,0.21226277947425842,0.2888195812702179,0.23560363054275513,-0.6356611847877502,-0.667672336101532,-0.6279308199882507,-0.6711309552192688,-0.5944793820381165,-0.643134593963623
2403,288758,-0.37108114361763,-0.3876286745071411,-0.3692641854286194,-0.3844277560710907,-0.3528061509132385,-0.36901023983955383,2.20505952835083,2.28049373626709,2.1082282066345215,2.1948118209838867,2.0748214721679688,2.157682418823242,0.8091574907302856,0.837890625,0.8390470743179321,0.858154296875,0.8277323246002197,0.850830078125,3.837602376937866,3.822568416595459,4.213390827178955,4.131200790405273,4.361506462097168,4.250572204589844,-0.4721803069114685,-0.4929947853088379,-0.46034666895866394,-0.47754111886024475,-0.44498464465141296,-0.4638209342956543,0.6925318241119385,0.7211211323738098,0.7294489741325378,0.7514901161193848,0.7148563265800476,0.740359902381897,-0.6355423927307129,-0.6560370922088623,-0.6809771656990051,-0.6924891471862793,-0.67289799451828,-0.6864929795265198,0.3549228310585022,0.33524662256240845,0.38219910860061646,0.3535984754562378,0.3975546658039093,0.3656112849712372,-0.5116299390792847,-0.532940149307251,-0.4952242076396942,-0.5116506814956665,-0.48466894030570984,-0.5034482479095459
2404,5330,-0.42574191093444824,-0.4595572054386139,-0.4336877763271332,-0.4663838744163513,-0.42487832903862,-0.4646645188331604,3.3760759830474854,2.471015214920044,2.3019797801971436,2.4253358840942383,2.2223312854766846,2.3466641902923584,0.8284339308738708,0.869873046875,0.8627567887306213,0.886962890625,0.8558216094970703,0.885986328125,3.780245542526245,3.870340347290039,4.224187850952148,4.175132751464844,4.357708930969238,4.335824012756348,-0.5214809775352478,-0.5578610897064209,-0.5199297070503235,-0.5517616271972656,-0.5142108201980591,-0.5509061813354492,0.7245436310768127,0.7697941064834595,0.7660064101219177,0.796857476234436,0.757307767868042,0.7952426671981812,-0.6469104290008545,-0.679853081703186,-0.6948645710945129,-0.7106826305389404,-0.6918449401855469,-0.7149628400802612,0.30791881680488586,0.2787693738937378,0.3275773227214813,0.28885775804519653,0.33341139554977417,0.28949785232543945,-0.5583258867263794,-0.5946354866027832,-0.5516331791877747,-0.5829718112945557,-0.5518922209739685,-0.5878463983535767
2405,8405,-0.3854878544807434,-0.40179547667503357,-0.35267776250839233,-0.3674280047416687,-0.30039143562316895,-0.32093024253845215,2.2476112842559814,2.3108198642730713,2.060138702392578,2.1950581073760986,2.1104800701141357,2.1791255474090576,0.8109399676322937,0.82958984375,0.8082298636436462,0.82958984375,0.7759544253349304,0.80029296875,3.8042287826538086,3.638044834136963,4.000246047973633,3.6875,3.849074602127075,3.674457311630249,-0.4950743019580841,-0.5143139362335205,-0.4558451175689697,-0.47207680344581604,-0.4006764888763428,-0.4272840917110443,0.6916637420654297,0.7086818814277649,0.6870529055595398,0.7086760401725769,0.6442090272903442,0.666911244392395,-0.6244349479675293,-0.6317780613899231,-0.6330236196517944,-0.6399999856948853,-0.5992570519447327,-0.6066278219223022,0.34181830286979675,0.31948229670524597,0.38652411103248596,0.35846245288848877,0.4464171528816223,0.40122872591018677,-0.5293211340904236,-0.5476988554000854,-0.48915526270866394,-0.5045555233955383,-0.4372271001338959,-0.4623779356479645
2407,40492,-0.3588717579841614,-0.3707696795463562,-0.33412522077560425,-0.3354315161705017,-0.28861579298973083,-0.2976059317588806,2.2685506343841553,2.2681286334991455,2.189917802810669,2.261789321899414,2.208200216293335,2.2431068420410156,0.8250178098678589,0.837646484375,0.8126574158668518,0.8330078125,0.7830986976623535,0.804931640625,3.5596532821655273,3.4228591918945312,3.3871617317199707,3.30236554145813,3.5496175289154053,3.392939329147339,-0.454405814409256,-0.470093309879303,-0.42667514085769653,-0.4304690361022949,-0.3791767656803131,-0.3923075795173645,0.7076992392539978,0.7205277681350708,0.693176805973053,0.7138715982437134,0.6532620191574097,0.6735820770263672,-0.634023129940033,-0.642876923084259,-0.6267567873001099,-0.6403157711029053,-0.5992178320884705,-0.6120635271072388,0.38429197669029236,0.36015820503234863,0.4144808053970337,0.39807987213134766,0.4686015844345093,0.4363510012626648,-0.49200117588043213,-0.5066049098968506,-0.4624170660972595,-0.46627160906791687,-0.4185396134853363,-0.43211156129837036
2413,15860,-0.41568663716316223,-0.4338967800140381,-0.4300912022590637,-0.46150508522987366,-0.3960283398628235,-0.43481940031051636,2.337785005569458,2.385937452316284,2.2754297256469727,2.3993234634399414,2.1174581050872803,2.328979969024658,0.835356593132019,0.860107421875,0.8604838848114014,0.883056640625,0.8376967906951904,0.873046875,4.076203346252441,4.093038558959961,4.424328804016113,4.385138511657715,4.510839939117432,4.532964706420898,-0.5146942734718323,-0.5360187292098999,-0.5192273855209351,-0.5522127151489258,-0.48625096678733826,-0.527769923210144,0.7270039916038513,0.7545287609100342,0.7615894675254822,0.7905312776565552,0.7329396605491638,0.7748085260391235,-0.6602280735969543,-0.6808143258094788,-0.6970492005348206,-0.7127672433853149,-0.6805710792541504,-0.7028584480285645,0.3231316804885864,0.30038708448410034,0.32924988865852356,0.288483202457428,0.3562604486942291,0.3067229390144348,-0.5515732169151306,-0.571101188659668,-0.550666332244873,-0.5825763940811157,-0.522292971611023,-0.5606663227081299
