,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
1,0.6882209017825935,0.5469444444444445,0.6095031728834546,3600.0,16800,14693,3600
2,0.8370769691524409,0.7763888888888889,0.8055915838017005,3600.0,16800,14998,3600
3,0.7204404021062709,0.8361111111111111,0.7739778863461044,3600.0,16800,15039,3600
4,0.5242801890846583,0.6404199475065617,0.5765595463137996,1905.0,8885,16112,1905
accuracy,0.7079102715466352,0.7079102715466352,0.7079102715466352,0.7079102715466352,,,
macro avg,0.6925046155314909,0.6999660979877516,0.6914080473362648,12705.0,,,
weighted avg,0.7149477798626505,0.7079102715466352,0.7067302204360741,12705.0,,,
