LU_CODE,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median
2101,170327,-0.33992090821266174,-0.34909799695014954,-0.22930093109607697,-0.23087719082832336,-0.1438993364572525,-0.12681226432323456,2.3367531299591064,2.214101552963257,1.6393018960952759,1.5705634355545044,1.4115052223205566,1.297855019569397,-0.48890891671180725,-0.502812922000885,-0.3608379364013672,-0.37342995405197144,-0.2463676929473877,-0.2454901933670044,0.5714175701141357,0.6224299073219299,0.5213439464569092,0.5431804656982422,0.49148350954055786,0.4927847683429718,-0.5032009482383728,-0.5433287620544434,-0.5027222633361816,-0.5177797079086304,-0.49561217427253723,-0.5023474097251892
2204,518779,-0.32117947936058044,-0.34478986263275146,-0.24414102733135223,-0.27011772990226746,-0.15555408596992493,-0.14428067207336426,1.962354302406311,2.0767688751220703,1.7677568197250366,1.8425155878067017,1.5104219913482666,1.5148993730545044,-0.4255855679512024,-0.4491766095161438,-0.3433244228363037,-0.37282517552375793,-0.24675992131233215,-0.23830583691596985,0.6545617580413818,0.6974790096282959,0.5945566892623901,0.6435845494270325,0.5256311297416687,0.5553213953971863,-0.6105744242668152,-0.6335811018943787,-0.5779033899307251,-0.6064425706863403,-0.5339100360870361,-0.5543083548545837
2205,548579,-0.3642207384109497,-0.3908107280731201,-0.30982112884521484,-0.33557164669036865,-0.2628742456436157,-0.28401875495910645,1.8691157102584839,1.9758858680725098,1.6840497255325317,1.7801897525787354,1.649869680404663,1.7200642824172974,-0.48928338289260864,-0.5139413475990295,-0.43065983057022095,-0.46050551533699036,-0.38240697979927063,-0.4099390208721161,0.6504210233688354,0.6922339200973511,0.6143948435783386,0.6607773900032043,0.5719776153564453,0.6118598580360413,-0.6122302412986755,-0.6325775384902954,-0.5968563556671143,-0.6208738088607788,-0.5674670338630676,-0.5877383351325989
2302,9478806,-0.4257151782512665,-0.45217761397361755,-0.43098559975624084,-0.45467522740364075,-0.3840716779232025,-0.40971240401268005,2.4592795372009277,2.665738105773926,2.4308395385742188,2.640712022781372,2.315532684326172,2.573307514190674,-0.4800521731376648,-0.5311077237129211,-0.4833272695541382,-0.5235992074012756,-0.4501722455024719,-0.48680272698402405,0.7662472128868103,0.7934595346450806,0.82358318567276,0.8193166851997375,0.7694141864776611,0.7802907824516296,-0.6165507435798645,-0.6969869136810303,-0.6706264019012451,-0.7198538184165955,-0.6243911385536194,-0.6874388456344604
2303,396814,-0.515648365020752,-0.551590085029602,-0.5244191288948059,-0.5720245838165283,-0.47538480162620544,-0.5255367159843445,2.560295343399048,2.6949753761291504,2.50864315032959,2.6595253944396973,2.534986734390259,2.692845344543457,-0.6054287552833557,-0.6422069072723389,-0.601929247379303,-0.6499466300010681,-0.5644456744194031,-0.6171550750732422,0.7918239831924438,0.8248624801635742,0.8157464861869812,0.8533656597137451,0.768273651599884,0.807851254940033,-0.7123239040374756,-0.7331364154815674,-0.738779604434967,-0.7592732906341553,-0.6999155879020691,-0.7235466241836548
2403,301927,-0.36178576946258545,-0.38327136635780334,-0.3608185350894928,-0.37966102361679077,-0.34308692812919617,-0.3619961738586426,2.1564009189605713,2.257779836654663,2.0903096199035645,2.1789186000823975,2.034088611602783,2.133187770843506,-0.4630786180496216,-0.4892459809780121,-0.45291757583618164,-0.4736284017562866,-0.43620026111602783,-0.45737236738204956,0.6807175874710083,0.7177948951721191,0.7201679348945618,0.7476449012756348,0.7046691179275513,0.7357944250106812,-0.6275153160095215,-0.6540863513946533,-0.6759682297706604,-0.6901822686195374,-0.6676110029220581,-0.6842105388641357
2404,5147,-0.41446810960769653,-0.45288020372390747,-0.42411333322525024,-0.45757225155830383,-0.41269156336784363,-0.45161956548690796,3.388411283493042,2.4408814907073975,2.2734873294830322,2.3941595554351807,2.167127847671509,2.2964415550231934,-0.510430097579956,-0.5516926050186157,-0.5121960043907166,-0.545433521270752,-0.5037969350814819,-0.5403608679771423,0.7130125164985657,0.7647058963775635,0.7576550245285034,0.7919907569885254,0.7466543912887573,0.7874875664710999,-0.6392427086830139,-0.6770186424255371,-0.6909744143486023,-0.7080877423286438,-0.6872012615203857,-0.7125105857849121
2405,8370,-0.37809258699417114,-0.39518284797668457,-0.3449154794216156,-0.3605858087539673,-0.29024869203567505,-0.3075389266014099,2.183954954147339,2.2741360664367676,2.065136432647705,2.1604795455932617,2.069350004196167,2.1279702186584473,-0.48810845613479614,-0.5075902938842773,-0.44893741607666016,-0.46607309579849243,-0.39108484983444214,-0.41397857666015625,0.6833247542381287,0.7081348896026611,0.679436206817627,0.701129138469696,0.6354749202728271,0.6552687883377075,-0.6225466728210449,-0.6361063718795776,-0.6321987509727478,-0.6402460336685181,-0.5972367525100708,-0.602343738079071
2407,37500,-0.35491687059402466,-0.3695443272590637,-0.3354859948158264,-0.3377350866794586,-0.2759358584880829,-0.2858318090438843,2.212705135345459,2.2335364818573,2.255882501602173,2.2821736335754395,2.165450096130371,2.1524903774261475,-0.45172563195228577,-0.46984922885894775,-0.4289543628692627,-0.4341025948524475,-0.36785006523132324,-0.3820749819278717,0.7042955756187439,0.7206647396087646,0.690614640712738,0.7114130854606628,0.6422442197799683,0.6629366874694824,-0.6355248689651489,-0.6460626721382141,-0.6268401741981506,-0.641732931137085,-0.5963712930679321,-0.6095890402793884
2413,16879,-0.41352367401123047,-0.43508151173591614,-0.42722296714782715,-0.46189677715301514,-0.38483113050460815,-0.4249531030654907,2.3267173767089844,2.3823328018188477,2.2884790897369385,2.4025537967681885,2.1493332386016846,2.3020527362823486,-0.5124536752700806,-0.5368905067443848,-0.5168625116348267,-0.5529345870018005,-0.4749451279640198,-0.5192519426345825,0.7253032922744751,0.755643367767334,0.7579320073127747,0.7899031043052673,0.7180534601211548,0.7689133286476135,-0.6596094369888306,-0.6808679699897766,-0.6950911283493042,-0.7112959623336792,-0.6693533658981323,-0.6998854279518127
