lu_code,precision,recall,f1,support
2101,0.7035,0.1509,0.2484,1054
2204,0.4318,0.0888,0.1474,3636
2205,0.4837,0.2695,0.3461,2913
2302,0.9297,0.8375,0.8812,66949
2303,0.8333,0.0955,0.1714,1780
2403,0.5054,0.1215,0.1959,1531
2404,0.0,0.0,0.0,32
2405,0.0,0.0,0.0,60
2407,0.0,0.0,0.0,287
2413,0.0,0.0,0.0,25
2416,0.0,0.0,0.0,196
2419,0.0,0.0,0.0,86
2420,0.0,0.0,0.0,4
