lu_code,precision,recall,f1,support
2101,0.5533,0.2562,0.3502,1054
2204,0.364,0.2514,0.2974,3636
2205,0.4354,0.3865,0.4095,2913
2302,0.8876,0.8913,0.8894,66949
2303,0.7875,0.2831,0.4165,1780
2403,0.4368,0.2711,0.3345,1531
2404,0.0,0.0,0.0,32
2405,0.0,0.0,0.0,60
2407,0.2,0.0035,0.0068,287
2413,0.0,0.0,0.0,25
2416,0.0,0.0,0.0,196
2419,0.0,0.0,0.0,86
2420,0.0,0.0,0.0,4
