lu_code,precision,recall,f1,support
2101,0.4404,0.4512,0.4457,49838
2204,0.3242,0.3529,0.3379,178464
2205,0.333,0.5704,0.4205,139979
2302,0.946,0.7982,0.8658,3235887
2303,0.5515,0.5661,0.5587,89353
2403,0.2713,0.5538,0.3642,73052
2404,0.047,0.0357,0.0406,1625
2405,0.0103,0.0088,0.0095,2947
2407,0.0743,0.0895,0.0812,13346
2413,0.0037,0.0018,0.0024,1709
2416,0.0466,0.0125,0.0198,10054
2419,0.015,0.009,0.0112,4122
2420,0.0,0.0,0.0,191
