,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,423357,35115,10970,62273,45127,42045,41651
Rambutan,1938,372,168,593,248,409,354
Mango,5382,798,3866,3714,1533,948,907
Longan,3563,548,173,1889,937,747,1229
Jackfruit,13432,1008,604,1662,1800,1551,1143
Mangosteen,5925,609,202,1140,598,2876,1013
Langsat,376,88,12,37,26,24,89
