,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.4225,0.0295,0.0204,0.0083,0.0032,0.0758,0.0252,0.0013,0.018,0.0079,0.0054,0.0122,0.0088,0.0167,0.3449
Cassava,0.0344,0.4409,0.1174,0.0548,0.0085,0.1082,0.0124,0.0023,0.0172,0.0122,0.0166,0.0061,0.0077,0.0027,0.1588
Pineapple,0.0178,0.2248,0.4318,0.0643,0.0067,0.067,0.0058,0.0031,0.0128,0.0104,0.0105,0.0048,0.0049,0.0014,0.134
Para rubber,0.007,0.0323,0.0252,0.5431,0.0234,0.0727,0.0106,0.0032,0.0054,0.0082,0.0068,0.0059,0.0063,0.0012,0.2486
Oil palm,0.0105,0.0185,0.0148,0.0304,0.1523,0.1678,0.03,0.0034,0.0131,0.1038,0.0279,0.0408,0.0569,0.0022,0.3275
Durian,0.0158,0.0339,0.0228,0.0294,0.0062,0.485,0.0402,0.0005,0.0126,0.0713,0.0517,0.0482,0.0477,0.0066,0.1281
Rambutan,0.0078,0.0188,0.0105,0.0339,0.0083,0.3145,0.0604,0.0002,0.0273,0.0962,0.0402,0.0664,0.0574,0.0013,0.2569
Coconut,0.0562,0.1044,0.0496,0.0118,0.0051,0.1934,0.0285,0.002,0.0579,0.0767,0.038,0.0369,0.0283,0.0056,0.3056
Mango,0.0205,0.085,0.0364,0.0685,0.0122,0.1239,0.0184,0.0087,0.089,0.0855,0.0353,0.0218,0.0209,0.0013,0.3728
Longan,0.0093,0.0247,0.0125,0.0266,0.0064,0.2608,0.0401,0.0004,0.0127,0.1383,0.0686,0.0547,0.09,0.002,0.2529
Jackfruit,0.0212,0.0285,0.0266,0.0445,0.0098,0.4769,0.0358,0.0004,0.0214,0.059,0.0639,0.0551,0.0406,0.0031,0.1133
Mangosteen,0.0154,0.0104,0.0171,0.0301,0.0043,0.2978,0.0306,0.0008,0.0102,0.0573,0.0301,0.1446,0.0509,0.0081,0.2925
Langsat,0.0022,0.0681,0.0312,0.144,0.0017,0.2098,0.0491,0.0,0.0067,0.0206,0.0145,0.0134,0.0497,0.0039,0.385
Reservoir,0.0127,0.0042,0.0045,0.0025,0.0013,0.0073,0.0019,0.0003,0.0015,0.0012,0.0007,0.0015,0.0014,0.8276,0.1314
Others,0.0172,0.0369,0.0239,0.0176,0.007,0.0538,0.0085,0.0011,0.0131,0.0117,0.0079,0.01,0.0082,0.0288,0.7544
