,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.6409,0.0532,0.0166,0.0943,0.0683,0.0637,0.0631
Rambutan,0.4748,0.0911,0.0412,0.1453,0.0608,0.1002,0.0867
Mango,0.3139,0.0465,0.2254,0.2166,0.0894,0.0553,0.0529
Longan,0.3921,0.0603,0.019,0.2079,0.1031,0.0822,0.1353
Jackfruit,0.6336,0.0475,0.0285,0.0784,0.0849,0.0732,0.0539
Mangosteen,0.4793,0.0493,0.0163,0.0922,0.0484,0.2326,0.0819
Langsat,0.5767,0.135,0.0184,0.0567,0.0399,0.0368,0.1365
