,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,80326,5616,3873,1577,599,14406,4798,254,3415,1496,1025,2316,1674,3175,65568
Cassava,29873,383364,102064,47669,7355,94107,10785,1971,14915,10620,14400,5331,6699,2329,138081
Pineapple,11390,143755,276164,41148,4297,42820,3726,1981,8202,6625,6699,3074,3111,899,85688
Para rubber,61337,284183,222145,4782873,206480,640469,93128,28438,47723,72615,59723,51971,55751,10245,2189689
Oil palm,5430,9519,7631,15644,78476,86425,15473,1756,6732,53479,14361,21041,29297,1138,168728
Durian,13763,29574,19879,25664,5412,423357,35115,424,10970,62273,45127,42045,41651,5717,111841
Rambutan,48,116,65,209,51,1938,372,1,168,593,248,409,354,8,1583
Coconut,1347,2503,1188,282,123,4637,683,47,1389,1839,912,884,679,134,7325
Mango,889,3694,1580,2977,532,5382,798,378,3866,3714,1533,948,907,57,16197
Longan,127,337,171,364,88,3563,548,6,173,1889,937,747,1229,27,3455
Jackfruit,598,802,748,1253,276,13432,1008,12,604,1662,1800,1551,1143,87,3192
Mangosteen,306,206,340,598,85,5925,609,15,202,1140,598,2876,1013,161,5819
Langsat,4,122,56,258,3,376,88,0,12,37,26,24,89,7,690
Reservoir,11861,3947,4217,2313,1236,6761,1806,270,1404,1082,616,1354,1264,770011,122272
Others,147088,315750,204805,150512,59562,460524,72934,9113,111912,100217,67888,85973,69793,246394,6458017
