,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9326,0.9112,0.6858,0.8733,0.8977,0.8651,0.8979
Rambutan,0.0043,0.0097,0.0105,0.0083,0.0049,0.0084,0.0076
Mango,0.0119,0.0207,0.2417,0.0521,0.0305,0.0195,0.0196
Longan,0.0078,0.0142,0.0108,0.0265,0.0186,0.0154,0.0265
Jackfruit,0.0296,0.0262,0.0378,0.0233,0.0358,0.0319,0.0246
Mangosteen,0.0131,0.0158,0.0126,0.016,0.0119,0.0592,0.0218
Langsat,0.0008,0.0023,0.0008,0.0005,0.0005,0.0005,0.0019
