,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.707,0.0577,0.0498,0.0477,0.0484,0.0501,0.0393
Rambutan,0.418,0.3968,0.0582,0.037,0.0265,0.0423,0.0212
Mango,0.0962,0.0308,0.7921,0.0308,0.026,0.0087,0.0154
Longan,0.3887,0.0282,0.0536,0.3887,0.0375,0.0576,0.0456
Jackfruit,0.4529,0.034,0.0936,0.0791,0.2451,0.0468,0.0485
Mangosteen,0.4474,0.0801,0.0584,0.0885,0.0301,0.2321,0.0634
Langsat,0.1667,0.0,0.0167,0.0,0.0,0.0167,0.8
