,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9629,0.8,0.4905,0.8504,0.835,0.8693,0.9153
Rambutan,0.0017,0.0667,0.0,0.0,0.0011,0.0014,0.0
Mango,0.0021,0.0,0.4715,0.0079,0.0068,0.0014,0.0085
Longan,0.008,0.0,0.0076,0.0787,0.0045,0.023,0.0
Jackfruit,0.0168,0.0667,0.0304,0.0413,0.1435,0.0388,0.0424
Mangosteen,0.0082,0.0667,0.0,0.0217,0.0079,0.0661,0.0085
Langsat,0.0003,0.0,0.0,0.0,0.0011,0.0,0.0254
