,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,28976,12,129,432,739,605,108
Rambutan,51,1,0,0,1,1,0
Mango,64,0,124,4,6,1,1
Longan,240,0,2,40,4,16,0
Jackfruit,505,1,8,21,127,27,5
Mangosteen,247,1,0,11,7,46,1
Langsat,9,0,0,0,1,0,3
