,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,53856,4399,3795,3631,3685,3820,2994
Rambutan,79,75,11,7,5,8,4
Mango,100,32,823,32,27,9,16
Longan,290,21,40,290,28,43,34
Jackfruit,813,61,168,142,440,84,87
Mangosteen,268,48,35,53,18,139,38
Langsat,10,0,1,0,0,1,48
