,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9718,0.9489,0.7788,0.8739,0.8768,0.9308,0.9295
Rambutan,0.0014,0.0162,0.0023,0.0017,0.0012,0.0019,0.0012
Mango,0.0018,0.0069,0.1689,0.0077,0.0064,0.0022,0.005
Longan,0.0052,0.0045,0.0082,0.0698,0.0067,0.0105,0.0106
Jackfruit,0.0147,0.0132,0.0345,0.0342,0.1047,0.0205,0.027
Mangosteen,0.0048,0.0104,0.0072,0.0128,0.0043,0.0339,0.0118
Langsat,0.0002,0.0,0.0002,0.0,0.0,0.0002,0.0149
