,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,55124,5053,2798,3990,4858,4582,1750
Rambutan,53,114,7,3,2,6,6
Mango,68,24,935,21,34,15,5
Longan,227,20,33,406,49,34,17
Jackfruit,686,47,126,125,725,72,53
Mangosteen,272,41,22,57,30,211,23
Langsat,5,3,0,3,1,1,47
