SUBCLASS_LABEL,count,F0_mean,F0_median,F1_mean,F1_median,F2_mean,F2_median,F3_mean,F3_median,F4_mean,F4_median,F5_mean,F5_median,F6_mean,F6_median,F7_mean,F7_median,F8_mean,F8_median,F9_mean,F9_median,F10_mean,F10_median,F11_mean,F11_median,F12_mean,F12_median,F13_mean,F13_median,F14_mean,F14_median,F15_mean,F15_median,F16_mean,F16_median,F17_mean,F17_median,F18_mean,F18_median,F19_mean,F19_median,F20_mean,F20_median,F21_mean,F21_median,F22_mean,F22_median,F23_mean,F23_median,F24_mean,F24_median,F25_mean,F25_median,F26_mean,F26_median,F27_mean,F27_median,F28_mean,F28_median,F29_mean,F29_median,F30_mean,F30_median,F31_mean,F31_median,F32_mean,F32_median,F33_mean,F33_median,F34_mean,F34_median,F35_mean,F35_median,F36_mean,F36_median,F37_mean,F37_median,F38_mean,F38_median,F39_mean,F39_median,F40_mean,F40_median,F41_mean,F41_median,F42_mean,F42_median,F43_mean,F43_median,F44_mean,F44_median,F45_mean,F45_median,F46_mean,F46_median,F47_mean,F47_median,F48_mean,F48_median,F49_mean,F49_median,F50_mean,F50_median,F51_mean,F51_median,F52_mean,F52_median,F53_mean,F53_median,F54_mean,F54_median,F55_mean,F55_median,F56_mean,F56_median,F57_mean,F57_median,F58_mean,F58_median,F59_mean,F59_median,F60_mean,F60_median,F61_mean,F61_median,F62_mean,F62_median,F63_mean,F63_median,F64_mean,F64_median,F65_mean,F65_median,F66_mean,F66_median,F67_mean,F67_median,F68_mean,F68_median,F69_mean,F69_median,F70_mean,F70_median,F71_mean,F71_median,F72_mean,F72_median,F73_mean,F73_median,F74_mean,F74_median,F75_mean,F75_median,F76_mean,F76_median,F77_mean,F77_median,F78_mean,F78_median,F79_mean,F79_median,F80_mean,F80_median,F81_mean,F81_median,F82_mean,F82_median,F83_mean,F83_median,F84_mean,F84_median,F85_mean,F85_median,F86_mean,F86_median,F87_mean,F87_median,F88_mean,F88_median,F89_mean,F89_median,F90_mean,F90_median,F91_mean,F91_median,F92_mean,F92_median,F93_mean,F93_median,F94_mean,F94_median,F95_mean,F95_median,F96_mean,F96_median,F97_mean,F97_median,F98_mean,F98_median,F99_mean,F99_median,F100_mean,F100_median,F101_mean,F101_median,F102_mean,F102_median,F103_mean,F103_median,F104_mean,F104_median,F105_mean,F105_median,F106_mean,F106_median,F107_mean,F107_median,F108_mean,F108_median
1,411042,,,,,,,,,,,4.219288349151611,4.085978031158447,,,3.91943097114563,3.816575050354004,,,,,,,,,4.076175689697266,3.9517898559570312,,,3.792884111404419,3.6859397888183594,,,,,,,,,,,,,-0.6022624969482422,-0.606194257736206,,,-0.5789217948913574,-0.5844677686691284,,,,,,,,,-0.5914058089256287,-0.5954152345657349,,,-0.5682186484336853,-0.5725018382072449,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-7.861652374267578,-7.796671390533447,,,-8.683882713317871,-8.586875915527344,,,,,,,,,-7.843693733215332,-7.782803535461426,,,-8.826611518859863,-8.745763778686523,,,,,,,,,,,-6.126406669616699,-6.1081156730651855,,,-5.810037136077881,-5.814270973205566,,,,,,,,,-5.977611064910889,-5.961963653564453,,,-5.668981552124023,-5.659919738769531,,,,,,,,,,,-13.988176345825195,-13.91558837890625,,,-14.493929862976074,-14.411676406860352,,,,,,,,,-13.821094512939453,-13.74913215637207,,,-14.495594024658203,-14.410004615783691,,,,,,,,,,,-6.126406669616699,-6.1081156730651855,,,-5.810037136077881,-5.814270973205566,,,,,,,,,-5.977611064910889,-5.961963653564453,,,-5.668981552124023,-5.659919738769531,,
2,8913568,,,,,,,,,,,4.6011481285095215,4.511509895324707,,,4.1996235847473145,4.06542444229126,,,,,,,,,4.507364273071289,4.415376663208008,,,4.087391376495361,3.9506642818450928,,,,,,,,,,,,,-0.6048447489738464,-0.6366128921508789,,,-0.578350841999054,-0.6048997044563293,,,,,,,,,-0.5990766882896423,-0.6300859451293945,,,-0.5707076787948608,-0.5953871011734009,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-7.968085289001465,-7.841346740722656,,,-8.378560066223145,-8.512619018554688,,,,,,,,,-7.68228816986084,-7.559408664703369,,,-8.417529106140137,-8.60368824005127,,,,,,,,,,,-6.651017189025879,-6.538668632507324,,,-6.100515365600586,-6.08880615234375,,,,,,,,,-6.536023139953613,-6.444427967071533,,,-5.951858043670654,-5.96140718460083,,,,,,,,,,,-15.23936939239502,-14.401296615600586,,,-15.372444152832031,-14.621654510498047,,,,,,,,,-14.754322052001953,-14.02171802520752,,,-15.325823783874512,-14.582929611206055,,,,,,,,,,,-6.651017189025879,-6.538668632507324,,,-6.100515365600586,-6.08880615234375,,,,,,,,,-6.536023139953613,-6.444427967071533,,,-5.951858043670654,-5.96140718460083,,
3,1138428,,,,,,,,,,,4.114567279815674,3.934246301651001,,,3.781033515930176,3.604984760284424,,,,,,,,,3.951777696609497,3.763789176940918,,,3.6828408241271973,3.499009609222412,,,,,,,,,,,,,-0.5913452506065369,-0.5941081047058105,,,-0.5629870891571045,-0.5653802752494812,,,,,,,,,-0.5774521231651306,-0.5795125961303711,,,-0.5533275604248047,-0.5547362565994263,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,-8.343257904052734,-8.371667861938477,,,-8.730257987976074,-8.78116226196289,,,,,,,,,-8.091334342956543,-8.001646041870117,,,-8.728436470031738,-8.770801544189453,,,,,,,,,,,-5.989169120788574,-5.943857669830322,,,-5.61829137802124,-5.566514015197754,,,,,,,,,-5.805998802185059,-5.750967025756836,,,-5.497426509857178,-5.433647155761719,,,,,,,,,,,-14.332575798034668,-14.363632202148438,,,-14.348671913146973,-14.42022705078125,,,,,,,,,-13.89753532409668,-13.76390266418457,,,-14.226037979125977,-14.243712425231934,,,,,,,,,,,-5.989169120788574,-5.943857669830322,,,-5.61829137802124,-5.566514015197754,,,,,,,,,-5.805998802185059,-5.750967025756836,,,-5.497426509857178,-5.433647155761719,,
4,15973,201.93650817871094,219.9482879638672,,,,,,,,,4.239338397979736,4.131277084350586,,,3.8671467304229736,3.7739739418029785,,,,,,,,,4.037033557891846,3.9059484004974365,,,3.637401580810547,3.5602974891662598,,,28.089900970458984,21.642536163330078,,,,,,,,,-0.6031981110572815,-0.6097145676612854,,,-0.5749525427818298,-0.5807758569717407,,,,,,,,,-0.5890552997589111,-0.591590166091919,,,-0.5534873008728027,-0.5606580972671509,,,3.789451837539673,2.909921646118164,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,,2.7200374603271484,2.0508620738983154,,,,,,,,,-7.759065628051758,-7.718890190124512,,,-8.88028621673584,-8.823667526245117,,,,,,,,,-7.73459529876709,-7.749636650085449,,,-9.156844139099121,-9.100399017333984,,,,,,,,,,,-6.14204216003418,-6.156529426574707,,,-5.75519323348999,-5.765550136566162,,,,,,,,,-5.941928863525391,-5.910632133483887,,,-5.4833173751831055,-5.509096622467041,,,,,,,,,,,-13.90103530883789,-13.898442268371582,,,-14.635534286499023,-14.553997039794922,,,,,,,,,-13.676580429077148,-13.699638366699219,,,-14.640159606933594,-14.581074714660645,,,,,,,,,,,-6.14204216003418,-6.156529426574707,,,-5.75519323348999,-5.765550136566162,,,,,,,,,-5.941928863525391,-5.910632133483887,,,-5.4833173751831055,-5.509096622467041,,
