,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.7525826446280992,0.9713333333333334,0.8480791618160652,10500.0,49000,49000,10500
2404,0.16030534351145037,0.13043478260869565,0.14383561643835616,161.0,748,20000,161
2407,0.35384615384615387,0.04883227176220807,0.08582089552238806,471.0,2198,20000,471
2413,0.3882783882783883,0.1062124248496994,0.16679779701022818,998.0,4660,20000,998
2416,0.5074626865671642,0.02593440122044241,0.04934687953555878,1311.0,6117,20000,1311
2419,0.3068181818181818,0.036734693877551024,0.06561360874848117,735.0,3429,20000,735
accuracy,0.7343397291196389,0.7343397291196389,0.7343397291196389,0.7343397291196389,,,
macro avg,0.4115488997749062,0.21991365127532161,0.22658232651184626,14176.0,,,
weighted avg,0.6611798282018674,0.7343397291196389,0.6523556954023535,14176.0,,,
