,2403,2404,2407,2413,2416,2419
2403,10199,74,33,115,28,51
2404,138,21,0,1,0,1
2407,438,2,23,6,0,2
2413,865,10,8,106,4,5
2416,1223,15,1,36,34,2
2419,689,9,0,9,1,27
