,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2302,0.6829802259887006,0.921047619047619,0.7843471208434712,10500.0,49000,49000,10500
2303,0.8869143780290791,0.5751428571428572,0.6977872782945289,10500.0,49000,49000,10500
2405,0.26785714285714285,0.37037037037037035,0.31088082901554404,81.0,376,20000,81
accuracy,0.7466438973483231,0.7466438973483231,0.7466438973483231,0.7466438973483231,,,
macro avg,0.6125839156249742,0.6221869488536155,0.5976717427178481,21081.0,,,
weighted avg,0.7829604748711215,0.7466438973483231,0.7394142848109322,21081.0,,,
