,precision,recall,f1-score,support
1,0.6393430814665418,0.29586666666666667,0.4045302281065561,30000.0
2,0.6797181953664815,0.3344666666666667,0.44832670568786026,30000.0
3,0.4410763316858869,0.9370666666666667,0.5998186376486905,30000.0
4,0.625,0.004173622704507512,0.008291873963515755,2396.0
accuracy,0.509026364777696,0.509026364777696,0.509026364777696,0.509026364777696
macro avg,0.5962844021297276,0.3928934056761269,0.36524186135165565,92396.0
weighted avg,0.5877054012680993,0.509026364777696,0.4718833550511904,92396.0
