,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2101,0.9587134826283292,0.9907619047619047,0.9744742635005386,10500.0,49000,49000,10500
2204,0.7475278771302335,0.6767619047619048,0.7103868839348195,10500.0,49000,49000,10500
2205,0.7244907116575429,0.7688571428571429,0.7460148777895855,10500.0,49000,49000,10500
accuracy,0.8121269841269841,0.8121269841269841,0.8121269841269841,0.8121269841269841,,,
macro avg,0.8102440238053686,0.8121269841269841,0.8102920084083145,31500.0,,,
weighted avg,0.8102440238053685,0.8121269841269841,0.8102920084083146,31500.0,,,
