level,group,true_pixels,end_to_end_recall
overall,all_econ,15157223,0.47349049360822887
subclass,orchards,512549,0.4417762984612203
subclass,plantation,12825848,0.47426049334125897
subclass,field,1818826,0.4769977996795735
loss,dropped_at_stage1 (not pred econ),3279814,
loss,misrouted_at_stage2 (wrong subclass),3086035,
