,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2302,0.8585571456577141,0.8341904761904761,0.8461984349338229,10500.0,49000,49000,10500
2303,0.8776712602356701,0.837047619047619,0.8568782295018037,10500.0,49000,49000,10500
2405,0.3906685236768802,0.8604294478527608,0.5373563218390804,652.0,3039,20000,652
accuracy,0.8363661555514502,0.8363661555514502,0.8363661555514502,0.8363661555514502,,,
macro avg,0.7089656431900883,0.8438891810302853,0.7468109954249024,21652.0,,,
weighted avg,0.853737028418523,0.8363661555514502,0.8420774662115814,21652.0,,,
