,crop,precision,recall,f1-score,support
2101,Rice,0.31975110089986597,0.562796763529384,0.4078076486826699,296743.0
2204,Cassava,0.2535286364288546,0.5165822235986374,0.3401286582237596,807250.0
2205,Pineapple,0.3217526402456289,0.5611772260094315,0.40900248369691555,714833.0
2302,Rubber,0.9683115588158608,0.624552408702251,0.7593383098180991,12320950.0
2303,Oil palm,0.16462779907669114,0.28959594910307096,0.20992096478185954,490953.0
2403,Durian,0.1700138637678232,0.5234334366025192,0.2566624484212073,353768.0
2404,Rambutan,0.00679692251685912,0.23978073610023493,0.013219130179507326,6385.0
2405,Coconut,0.002513143058970562,0.03979921118680531,0.004727749761482895,13945.0
2407,Mango,0.03528432745620935,0.2142472296244521,0.06059008724264244,68673.0
2413,Longan,0.025456827647733108,0.24923826934795856,0.04619533246426874,19692.0
2416,Jackfruit,0.04594714213454729,0.16950061810463463,0.07229658812234807,42873.0
2419,Mangosteen,0.02327527988357604,0.12668910173440331,0.039325662123939314,19315.0
2420,Langsat,0.009224675751108193,0.4877916440586001,0.018106929576330075,1843.0
micro avg,,0.6136989745972428,0.5964097777013639,0.6049308681056103,15157223.0
macro avg,,0.18049876289874836,0.35424498597710635,0.20287092254577155,15157223.0
weighted avg,,0.8317138205526686,0.5964097777013639,0.6760271631369439,15157223.0
