alpha2,alpha3,cal_macro_f1,cal_alive,tune_macro_f1,tune_alive
0.9,0.9,0.2365,10,0.1968,10
0.9,1.0,0.2197,10,0.177,10
0.9,1.1,0.1977,10,0.1596,10
0.9,1.2,0.1783,9,0.1429,9
1.0,0.0,0.2357,9,0.196,8
1.0,0.1,0.2367,9,0.1996,8
1.0,0.2,0.2375,9,0.2027,8
1.0,0.3,0.2381,9,0.2044,9
1.0,0.4,0.239,9,0.2044,9
1.0,0.5,0.2397,10,0.2048,10
1.0,0.6,0.24,10,0.204,10
1.0,0.7,0.2392,10,0.2029,10
1.0,0.8,0.2365,10,0.2007,10
1.0,0.9,0.2316,10,0.1929,10
1.0,1.0,0.2159,10,0.1739,10
1.0,1.1,0.1945,10,0.1567,10
1.0,1.2,0.1753,9,0.1402,9
1.1,0.0,0.2289,9,0.1908,8
1.1,0.1,0.2297,9,0.1948,8
1.1,0.2,0.2304,9,0.1977,9
1.1,0.3,0.2309,9,0.1991,9
1.1,0.4,0.2316,9,0.1992,9
1.1,0.5,0.2322,10,0.1994,9
1.1,0.6,0.2325,10,0.1986,10
1.1,0.7,0.2318,10,0.1976,10
1.1,0.8,0.2295,10,0.1958,10
1.1,0.9,0.2255,10,0.1888,10
1.1,1.0,0.2111,10,0.1705,10
1.1,1.1,0.1903,10,0.1537,10
1.1,1.2,0.1714,9,0.1374,9
1.2,0.0,0.2209,9,0.1858,8
1.2,0.1,0.2216,9,0.1896,8
1.2,0.2,0.2222,9,0.1922,9
1.2,0.3,0.2226,9,0.1934,9
1.2,0.4,0.2233,9,0.1934,9
1.2,0.5,0.2238,10,0.1936,9
1.2,0.6,0.224,10,0.1928,10
1.2,0.7,0.2234,10,0.192,10
1.2,0.8,0.2214,10,0.1905,10
1.2,0.9,0.2183,10,0.1843,10
1.2,1.0,0.2053,10,0.1669,10
1.2,1.1,0.1853,10,0.1506,10
1.2,1.2,0.1669,9,0.1347,9
