,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.3966,0.0193,0.01,0.1457,0.0091,0.0019,0.0,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0293,0.3876
Cassava,0.0085,0.3698,0.1286,0.2839,0.0123,0.0019,0.0,0.0002,0.0001,0.0,0.0001,0.0,0.0,0.0033,0.1912
Pineapple,0.0051,0.1297,0.4601,0.2416,0.0133,0.0016,0.0,0.0004,0.0,0.0,0.0001,0.0,0.0,0.0015,0.1466
Para rubber,0.0017,0.0132,0.012,0.8333,0.0082,0.0026,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0011,0.1276
Oil palm,0.0038,0.0228,0.0256,0.266,0.4184,0.014,0.0,0.0007,0.0002,0.0001,0.0002,0.0,0.0,0.0038,0.2443
Durian,0.0036,0.0134,0.0083,0.4144,0.0526,0.2127,0.0,0.0002,0.0,0.0003,0.0011,0.0002,0.0,0.011,0.2821
Rambutan,0.0085,0.0079,0.0147,0.2059,0.0243,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.7067
Coconut,0.0214,0.0863,0.075,0.2154,0.099,0.0141,0.0,0.0239,0.0003,0.0006,0.0006,0.0001,0.0,0.005,0.4583
Mango,0.0029,0.0744,0.0193,0.1024,0.0111,0.0027,0.0,0.0006,0.0018,0.0,0.0001,0.0,0.0,0.0018,0.7828
Longan,0.0064,0.026,0.0114,0.2262,0.0717,0.0591,0.0,0.0,0.0,0.0049,0.0002,0.0005,0.0,0.0198,0.5738
Jackfruit,0.0118,0.0468,0.0242,0.4063,0.0641,0.0694,0.0,0.0004,0.0001,0.0001,0.0108,0.0006,0.0,0.0098,0.3555
Mangosteen,0.0181,0.0053,0.0072,0.1244,0.0232,0.0467,0.0,0.0002,0.0,0.0002,0.0007,0.0016,0.0,0.0065,0.7661
Langsat,0.0022,0.009,0.0045,0.3079,0.0045,0.0292,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.6404
Reservoir,0.0054,0.0016,0.0029,0.013,0.0035,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.9062,0.067
Others,0.0095,0.0346,0.0191,0.1162,0.0158,0.008,0.0,0.0003,0.0,0.0001,0.0001,0.0001,0.0,0.0302,0.7661
