,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9646,0.3333,0.2961,0.6679,0.7101,0.7347,0.5
Rambutan,0.0017,0.6667,0.0,0.0,0.0,0.0,0.0
Mango,0.0023,0.0,0.6616,0.0074,0.0169,0.0051,0.0
Longan,0.0068,0.0,0.003,0.2915,0.0077,0.0306,0.0
Jackfruit,0.0161,0.0,0.0332,0.0221,0.2469,0.0357,0.0
Mangosteen,0.008,0.0,0.006,0.0111,0.0169,0.1939,0.0
Langsat,0.0004,0.0,0.0,0.0,0.0015,0.0,0.5
