,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.4456,0.0229,0.0093,0.0753,0.0088,0.0167,0.0001,0.0009,0.0021,0.0005,0.0006,0.0002,0.0001,0.0293,0.3789,0.0087
Cassava,0.0156,0.4718,0.1578,0.1261,0.0116,0.0171,0.0,0.001,0.0026,0.0005,0.001,0.0002,0.0,0.0033,0.1771,0.0141
Pineapple,0.009,0.1727,0.5499,0.0919,0.0108,0.0136,0.0,0.0009,0.0019,0.0002,0.0008,0.0002,0.0,0.0015,0.1398,0.0068
Para rubber,0.0038,0.0298,0.0235,0.7779,0.0134,0.0202,0.0,0.0007,0.0008,0.0005,0.0007,0.0002,0.0,0.0011,0.053,0.0746
Oil palm,0.0068,0.0452,0.0423,0.1495,0.415,0.0728,0.0001,0.003,0.0074,0.0044,0.0046,0.0007,0.0001,0.0038,0.0588,0.1855
Durian,0.0074,0.0281,0.0148,0.1562,0.0241,0.456,0.0004,0.001,0.0036,0.0038,0.0079,0.0032,0.0003,0.011,0.2015,0.0806
Rambutan,0.0169,0.0209,0.0237,0.128,0.0327,0.0603,0.0051,0.0006,0.0011,0.0006,0.0,0.0006,0.0,0.0028,0.2042,0.5025
Coconut,0.0358,0.1224,0.1045,0.0629,0.0497,0.0835,0.0,0.0427,0.0233,0.0038,0.0069,0.001,0.0002,0.005,0.3898,0.0684
Mango,0.0059,0.0963,0.0242,0.0568,0.01,0.0051,0.0,0.0025,0.014,0.0001,0.0005,0.0001,0.0,0.0018,0.62,0.1628
Longan,0.0153,0.0532,0.0173,0.1379,0.0445,0.0915,0.0,0.0025,0.0015,0.0376,0.0025,0.0022,0.0005,0.0198,0.3832,0.1906
Jackfruit,0.0209,0.09,0.0443,0.2377,0.0585,0.1328,0.0,0.0028,0.0044,0.0032,0.038,0.0018,0.0003,0.0098,0.2313,0.1241
Mangosteen,0.0226,0.0149,0.0176,0.0655,0.0147,0.0748,0.0002,0.0009,0.0007,0.0011,0.0028,0.0118,0.0,0.0065,0.4438,0.3222
Langsat,0.0045,0.0067,0.0067,0.2472,0.0045,0.0562,0.0045,0.0,0.0,0.0022,0.0022,0.0,0.0247,0.0,0.3371,0.3034
Reservoir,0.0066,0.0029,0.004,0.0074,0.0035,0.0017,0.0,0.0002,0.0003,0.0,0.0001,0.0,0.0,0.9062,0.0498,0.0172
Others,0.0213,0.0688,0.034,0.0778,0.0158,0.0354,0.0001,0.0016,0.0028,0.0009,0.0011,0.0006,0.0001,0.0416,0.6391,0.059
Forest,0.0004,0.0019,0.0008,0.0392,0.0152,0.0038,0.0,0.0004,0.0003,0.0003,0.0003,0.0002,0.0,0.0017,0.0249,0.9105
