,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9618,0.0,0.2,0.6316,0.6732,0.7053,0.5
Rambutan,0.0018,0.0,0.0,0.0,0.0,0.0,0.0
Mango,0.0029,0.0,0.7846,0.0075,0.0172,0.0105,0.0
Longan,0.0076,0.0,0.0,0.3233,0.0049,0.0211,0.0
Jackfruit,0.017,0.0,0.0154,0.0226,0.2875,0.0526,0.0
Mangosteen,0.0084,0.0,0.0,0.015,0.0147,0.2105,0.0
Langsat,0.0005,0.0,0.0,0.0,0.0025,0.0,0.5
