,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9784,0.0,0.0024,0.0044,0.0112,0.0035,0.0001
Rambutan,0.9459,0.0541,0.0,0.0,0.0,0.0,0.0
Mango,0.2961,0.0,0.6616,0.006,0.0332,0.003,0.0
Longan,0.7586,0.0,0.0027,0.2095,0.0133,0.0159,0.0
Jackfruit,0.7846,0.0,0.0128,0.007,0.1874,0.0081,0.0
Mangosteen,0.8615,0.0,0.0051,0.0077,0.0282,0.0974,0.0
Langsat,0.7727,0.0,0.0,0.0,0.0455,0.0,0.1818
