,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9873,0.0,0.0011,0.0023,0.0075,0.0018,0.0
Rambutan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mango,0.4022,0.0,0.5646,0.0037,0.0258,0.0037,0.0
Longan,0.8584,0.0,0.0,0.1295,0.006,0.006,0.0
Jackfruit,0.834,0.0,0.0039,0.0039,0.1518,0.0065,0.0
Mangosteen,0.9191,0.0,0.0,0.0058,0.0173,0.0578,0.0
Langsat,0.9,0.0,0.0,0.0,0.05,0.0,0.05
