,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9595,0.0008,0.0076,0.008,0.0167,0.0068,0.0007
Rambutan,0.8917,0.075,0.0167,0.0083,0.0,0.0083,0.0
Mango,0.2577,0.0,0.7079,0.0034,0.0275,0.0034,0.0
Longan,0.674,0.0,0.0109,0.2769,0.0182,0.0164,0.0036
Jackfruit,0.736,0.0,0.0246,0.0177,0.2103,0.01,0.0015
Mangosteen,0.8192,0.0019,0.0077,0.0115,0.0308,0.1288,0.0
Langsat,0.625,0.05,0.0,0.025,0.025,0.0,0.275
