,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,59383,3059,1469,17712,1340,570,0,81,40,17,4,2,0,4203,55617
Cassava,5733,230323,78680,126872,7060,2308,0,199,160,36,112,47,0,1862,107151
Pineapple,2851,69859,235995,87696,6109,1674,0,239,90,16,54,4,0,708,69648
Para rubber,26400,217765,183833,9809881,114869,64098,4,2417,788,804,1128,279,9,12847,1525831
Oil palm,1430,9364,9658,70038,129591,7845,0,365,261,142,147,28,3,1166,74364
Durian,603,2349,1367,42156,5655,36280,0,50,39,84,274,67,1,1382,35492
Rambutan,23,21,34,326,44,67,0,0,0,0,0,0,0,5,1253
Coconut,225,886,756,1415,771,255,0,293,14,8,8,4,0,43,3957
Mango,106,2448,624,2519,334,109,0,27,153,1,7,1,0,54,22998
Longan,38,140,56,803,273,285,0,2,0,43,2,2,0,80,2321
Jackfruit,101,455,215,2574,460,643,0,6,3,3,117,5,0,71,2566
Mangosteen,116,50,60,599,123,318,0,2,0,2,6,20,0,37,4365
Langsat,1,4,2,131,2,18,0,0,0,0,1,0,1,0,285
Reservoir,2742,976,1600,5453,1745,188,0,59,11,1,4,1,0,433041,32036
Others,79207,285780,151048,714015,115442,87446,12,3355,1500,1013,1385,858,21,213522,5419085
