,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,56905,2766,1436,20901,1312,273,0,55,17,10,2,0,0,4203,54375,1242
Cassava,4751,207286,72082,159149,6921,1086,0,138,35,9,46,27,0,1862,99254,7897
Pineapple,2426,61586,218526,114737,6326,746,0,192,18,4,26,0,0,708,66416,3232
Para rubber,20109,158474,143588,9967364,98637,31604,1,1396,164,300,521,117,0,12847,633893,891938
Oil palm,1161,6932,7802,80976,127356,4249,0,217,63,44,59,13,0,1166,17903,56461
Durian,458,1684,1041,52127,6621,26757,0,30,4,38,142,23,0,1382,25351,10141
Rambutan,15,14,26,365,43,52,0,0,0,0,0,0,0,5,362,891
Coconut,185,745,648,1860,855,122,0,206,3,5,5,1,0,43,3366,591
Mango,85,2186,567,3008,325,80,0,19,54,0,4,1,0,54,18215,4783
Longan,26,105,46,915,290,239,0,0,0,20,1,2,0,80,1550,771
Jackfruit,85,338,175,2933,463,501,0,3,1,1,78,4,0,71,1670,896
Mangosteen,103,30,41,709,132,266,0,1,0,1,4,9,0,37,2529,1836
Langsat,1,4,2,137,2,13,0,0,0,0,1,0,0,0,150,135
Reservoir,2563,748,1407,6227,1683,89,0,56,2,0,4,1,0,433041,23794,8242
Others,66598,242701,134212,724980,86697,54787,2,1901,335,376,611,389,2,210023,3225276,297835
Forest,561,1746,940,97209,24886,1711,0,153,17,106,95,67,0,3499,50419,1845555
