,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,36280,0,39,84,274,67,1
Rambutan,67,0,0,0,0,0,0
Mango,109,0,153,1,7,1,0
Longan,285,0,0,43,2,2,0
Jackfruit,643,0,3,3,117,5,0
Mangosteen,318,0,0,2,6,20,0
Langsat,18,0,0,0,1,0,1
