,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,63949,3293,1336,10800,1268,2396,11,126,301,76,84,28,9,4203,54375,1242
Cassava,8755,264471,88468,70707,6515,9565,12,556,1478,268,584,139,12,1862,99254,7897
Pineapple,4274,82031,261172,43663,5115,6446,10,415,879,117,383,72,10,708,66416,3232
Para rubber,45507,356292,280508,9304348,160037,241636,347,7927,9730,5459,8173,1971,340,12847,633893,891938
Oil palm,2081,13763,12868,45494,126336,22173,25,921,2238,1335,1393,217,28,1166,17903,56461
Durian,936,3530,1861,19650,3031,57370,45,125,457,476,997,406,41,1382,25351,10141
Rambutan,30,37,42,227,58,107,9,1,2,1,0,1,0,5,362,891
Coconut,309,1057,902,543,429,721,0,369,201,33,60,9,2,43,3366,591
Mango,172,2829,712,1669,293,150,0,72,412,2,16,2,0,54,18215,4783
Longan,62,215,70,558,180,370,0,10,6,152,10,9,2,80,1550,771
Jackfruit,151,650,320,1716,422,959,0,20,32,23,274,13,2,71,1670,896
Mangosteen,129,85,100,373,84,426,1,5,4,6,16,67,0,37,2529,1836
Langsat,2,3,3,110,2,25,2,0,0,1,1,0,11,0,150,135
Reservoir,3136,1381,1920,3557,1654,802,5,97,153,21,33,19,2,433041,23794,8242
Others,107548,347109,171449,392873,79542,178633,471,8169,14113,4331,5731,3191,431,210023,3225276,297835
Forest,835,3886,1553,79434,30828,7772,77,794,625,640,648,379,20,3499,50419,1845555
