,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,63949,3293,1336,10800,1268,2396,11,126,301,76,84,28,9,4203,55617
Cassava,8755,264471,88468,70707,6515,9565,12,556,1478,268,584,139,12,1862,107151
Pineapple,4274,82031,261172,43663,5115,6446,10,415,879,117,383,72,10,708,69648
Para rubber,45507,356292,280508,9304348,160037,241636,347,7927,9730,5459,8173,1971,340,12847,1525831
Oil palm,2081,13763,12868,45494,126336,22173,25,921,2238,1335,1393,217,28,1166,74364
Durian,936,3530,1861,19650,3031,57370,45,125,457,476,997,406,41,1382,35492
Rambutan,30,37,42,227,58,107,9,1,2,1,0,1,0,5,1253
Coconut,309,1057,902,543,429,721,0,369,201,33,60,9,2,43,3957
Mango,172,2829,712,1669,293,150,0,72,412,2,16,2,0,54,22998
Longan,62,215,70,558,180,370,0,10,6,152,10,9,2,80,2321
Jackfruit,151,650,320,1716,422,959,0,20,32,23,274,13,2,71,2566
Mangosteen,129,85,100,373,84,426,1,5,4,6,16,67,0,37,4365
Langsat,2,3,3,110,2,25,2,0,0,1,1,0,11,0,285
Reservoir,3136,1381,1920,3557,1654,802,5,97,153,21,33,19,2,433041,32036
Others,108383,350995,173002,472307,110370,186405,548,8963,14738,4971,6379,3570,451,213522,5419085
