,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9657,0.7895,0.5005,0.7201,0.7588,0.8153,0.7321
Rambutan,0.0018,0.1579,0.0022,0.0015,0.0,0.002,0.0
Mango,0.0025,0.0,0.4513,0.003,0.0122,0.004,0.0
Longan,0.0062,0.0,0.0066,0.23,0.0076,0.0181,0.0357
Jackfruit,0.0161,0.0,0.035,0.0348,0.2085,0.0261,0.0357
Mangosteen,0.0072,0.0175,0.0044,0.0091,0.0122,0.1345,0.0
Langsat,0.0004,0.0351,0.0,0.0015,0.0008,0.0,0.1964
