,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,66996,2200,900,2333,819,4405,1652,296,2040,761,616,305,354,4203,55617
Cassava,15668,275233,92773,19067,4040,18103,2862,1711,12085,2573,5509,1101,805,1862,107151
Pineapple,7762,85154,272243,9941,2479,10581,1365,896,7680,1621,2991,1184,690,708,69648
Para rubber,89696,493974,418176,7848734,592967,492226,97063,59864,105494,67707,91672,40608,24094,12847,1525831
Oil palm,3445,15566,14887,10703,84863,27185,8968,1151,14673,22377,14886,8188,1980,1166,74364
Durian,1188,3204,1662,3839,721,55123,5052,156,2798,3993,4858,4581,1750,1382,35492
Rambutan,46,43,43,114,74,53,114,4,7,3,2,6,6,5,1253
Coconut,342,1082,821,8,9,511,115,56,1071,230,281,86,23,43,3957
Mango,316,2954,689,742,236,68,24,290,935,21,34,15,5,54,22998
Longan,107,246,82,304,100,227,20,19,33,406,49,34,17,80,2321
Jackfruit,218,703,400,921,426,686,47,80,126,125,725,72,53,71,2566
Mangosteen,173,95,134,178,57,272,41,3,22,57,30,211,23,37,4365
Langsat,2,3,4,71,20,5,3,0,0,3,1,1,47,0,285
Reservoir,3528,1463,1936,939,947,1197,330,205,1338,271,286,260,80,433041,32036
Others,153428,362148,166386,164916,72763,213115,54383,23791,103066,41764,35533,34664,15125,213522,5419085
