,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.7053,0.0646,0.0358,0.0511,0.0622,0.0586,0.0224
Rambutan,0.2775,0.5969,0.0366,0.0157,0.0105,0.0314,0.0314
Mango,0.0617,0.0218,0.8485,0.0191,0.0309,0.0136,0.0045
Longan,0.2888,0.0254,0.042,0.5165,0.0623,0.0433,0.0216
Jackfruit,0.374,0.0256,0.0687,0.0682,0.3953,0.0393,0.0289
Mangosteen,0.4146,0.0625,0.0335,0.0869,0.0457,0.3216,0.0351
Langsat,0.0833,0.05,0.0,0.05,0.0167,0.0167,0.7833
