,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,57370,45,457,476,997,406,41
Rambutan,107,9,2,1,0,1,0
Mango,150,0,412,2,16,2,0
Longan,370,0,6,152,10,9,2
Jackfruit,959,0,32,23,274,13,2
Mangosteen,426,1,4,6,16,67,0
Langsat,25,2,0,1,1,0,11
