,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,40321,2,98,181,463,144,4
Rambutan,70,4,0,0,0,0,0
Mango,98,0,219,2,11,1,0
Longan,286,0,1,79,5,6,0
Jackfruit,674,0,11,6,161,7,0
Mangosteen,336,0,2,3,11,38,0
Langsat,17,0,0,0,1,0,4
