,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9768,0.953,0.7136,0.8665,0.8524,0.9311,0.9206
Rambutan,0.0009,0.0215,0.0018,0.0007,0.0004,0.0012,0.0032
Mango,0.0012,0.0045,0.2385,0.0046,0.006,0.003,0.0026
Longan,0.004,0.0038,0.0084,0.0881,0.0086,0.0069,0.0089
Jackfruit,0.0122,0.0089,0.0321,0.0271,0.1272,0.0146,0.0279
Mangosteen,0.0048,0.0077,0.0056,0.0124,0.0053,0.0429,0.0121
Langsat,0.0001,0.0006,0.0,0.0007,0.0002,0.0002,0.0247
