,precision,recall,f1-score,support,train_unique_support,train_final_support,test_support
2403,0.7256166982922201,0.7283809523809524,0.7269961977186312,10500.0,49000,49000,10500
2404,0.2751784298176051,0.6898608349900597,0.3934240362811791,503.0,2349,20000,503
2407,0.7983460559796438,0.8673116793365584,0.8314011262007287,2894.0,13502,20000,2894
2413,0.5656934306569343,0.6138613861386139,0.5887939221272555,2020.0,9426,20000,2020
2416,0.7118907171685812,0.48611405554377785,0.5777273872511968,4717.0,22011,22011,4717
2419,0.43171806167400884,0.4677804295942721,0.44902634593356244,1676.0,7818,20000,1676
2420,0.47202797202797203,0.9,0.6192660550458715,150.0,703,20000,150
accuracy,0.6659394479073909,0.6659394479073909,0.6659394479073909,0.6659394479073909,,,
macro avg,0.5686387665167093,0.6790441911406049,0.5980907243654894,22460.0,,,
weighted avg,0.6840096383905919,0.6659394479073909,0.6677377158469481,22460.0,,,
