,precision,recall,f1-score,support
1,0.8409222644425839,0.8704666666666667,0.8554394470468766,30000.0
2,0.8984165472647783,0.8151333333333334,0.8547510442335587,30000.0
3,0.8454313360859835,0.8941,0.8690848413174138,30000.0
accuracy,0.8599,0.8599,0.8599,0.8599
macro avg,0.8615900492644486,0.8599,0.859758444199283,90000.0
weighted avg,0.8615900492644486,0.8599,0.859758444199283,90000.0
