mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_nyst__gamma,param_nyst__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
205.2679054737091,5.3144951324000465,1.2364455858866374,0.04052104290053963,1,0.00833333,600,"{'clf__estimator__C': 1, 'nyst__gamma': 0.00833333, 'nyst__n_components': 600}",0.636603900489023,0.6798441612139527,0.6594540851150702,0.6586340489393487,0.017662283381773218,24
433.21344987551373,18.663863806635728,2.772149085998535,0.03133627216450347,1,0.00833333,1200,"{'clf__estimator__C': 1, 'nyst__gamma': 0.00833333, 'nyst__n_components': 1200}",0.6396526878812696,0.6816391219161613,0.6613985649776887,0.6608967915917066,0.017144561686625048,23
250.8477430343628,0.7729236409520914,1.2671240170796711,0.02109565325065665,1,0.01666667,600,"{'clf__estimator__C': 1, 'nyst__gamma': 0.01666667, 'nyst__n_components': 600}",0.6541773847587302,0.6882745274014277,0.6703062207851573,0.6709193776484383,0.01392685068739175,22
501.4343020915985,20.63093761246101,2.7536532084147134,0.074915487144924,1,0.01666667,1200,"{'clf__estimator__C': 1, 'nyst__gamma': 0.01666667, 'nyst__n_components': 1200}",0.6601709440289754,0.6919006105161283,0.6739316914155105,0.6753344153202047,0.012991501314605362,16
235.90841682751974,4.22380623253828,1.2722058296203613,0.05940938618203123,1,0.03333333,600,"{'clf__estimator__C': 1, 'nyst__gamma': 0.03333333, 'nyst__n_components': 600}",0.6632587798207199,0.6908026188596509,0.6745453221733326,0.6762022402845678,0.011305597447610895,15
542.0700997511545,2.0165308122230456,2.8024125893910727,0.05511746957269783,1,0.03333333,1200,"{'clf__estimator__C': 1, 'nyst__gamma': 0.03333333, 'nyst__n_components': 1200}",0.67251605508354,0.6962939381997659,0.6797676872033659,0.6828592268288906,0.009950381711752505,8
209.92770655949911,7.8978504826253495,1.2446322441101074,0.04365106223716027,1,0.06666667,600,"{'clf__estimator__C': 1, 'nyst__gamma': 0.06666667, 'nyst__n_components': 600}",0.6582374024135466,0.6888775712606205,0.6709402536590702,0.6726850757777457,0.012569494551324528,20
485.0722196896871,7.686416511934356,2.7774670124053955,0.09081859190425874,1,0.06666667,1200,"{'clf__estimator__C': 1, 'nyst__gamma': 0.06666667, 'nyst__n_components': 1200}",0.6747059495074823,0.6954243735300596,0.6796465536736714,0.6832589589037378,0.008835548545675583,7
439.2473832766215,12.392976010203263,1.2941848436991374,0.04480991560103159,10,0.00833333,600,"{'clf__estimator__C': 10, 'nyst__gamma': 0.00833333, 'nyst__n_components': 600}",0.653862725096288,0.6890162369869649,0.6718037008875448,0.6715608876569327,0.014352388146477265,21
947.5189918677012,21.53401864647194,2.6995261510213218,0.05668604564758811,10,0.00833333,1200,"{'clf__estimator__C': 10, 'nyst__gamma': 0.00833333, 'nyst__n_components': 1200}",0.6611445303568813,0.6924900271065639,0.6754322603882991,0.6763556059505814,0.012813390571107806,14
