lu_code,precision,recall,f1,support
2101,0.4508,0.3897,0.4181,49838
2204,0.338,0.3526,0.3451,178464
2205,0.343,0.5443,0.4208,139979
2302,0.931,0.8203,0.8721,3235887
2303,0.3646,0.4837,0.4158,89353
2403,0.3462,0.4278,0.3827,73052
2404,0.0173,0.0197,0.0184,1625
2405,0.0047,0.0458,0.0085,2947
2407,0.0801,0.056,0.0659,13346
2413,0.0056,0.0053,0.0054,1709
2416,0.0898,0.0738,0.081,10054
2419,0.0136,0.0129,0.0132,4122
2420,0.0,0.0,0.0,191
