alpha2,alpha3,econ13_macro_f1,classes_alive,crop_macro_f1_flat,flat15_macro_f1,accuracy,kappa,econ13_macro_precision,econ13_macro_recall
0.4,0.5,0.2251,13,0.1898,0.2649,0.7405,0.5849,0.219,0.2601
0.4,0.55,0.2262,13,0.1909,0.2659,0.7415,0.586,0.223,0.258
0.4,0.552,0.2263,13,0.191,0.266,0.7415,0.586,0.2232,0.258
0.4,0.6,0.2278,13,0.1925,0.2672,0.7423,0.5868,0.2281,0.257
0.4,0.65,0.2285,13,0.1935,0.2681,0.743,0.5875,0.2333,0.2556
0.4,0.7,0.2285,13,0.194,0.2685,0.7436,0.588,0.2377,0.2541
0.4,0.8,0.2284,13,0.1947,0.2691,0.7444,0.5888,0.248,0.2514
0.4,0.858,0.2273,13,0.1942,0.2687,0.7448,0.5891,0.2516,0.2495
0.4,0.9,0.2268,13,0.194,0.2686,0.745,0.5893,0.2536,0.2485
0.4,1.0,0.2265,13,0.1943,0.2688,0.7454,0.5896,0.266,0.2467
0.45,0.0,0.2034,13,0.1726,0.25,0.7109,0.5516,0.1913,0.2642
0.45,0.1,0.2091,13,0.177,0.2538,0.7228,0.5649,0.1957,0.2656
0.45,0.2,0.2144,13,0.181,0.2573,0.7312,0.5743,0.2008,0.2655
0.45,0.3,0.2193,13,0.1847,0.2605,0.7372,0.581,0.2067,0.2637
0.45,0.4,0.2239,13,0.1882,0.2636,0.7413,0.5855,0.2136,0.2617
0.45,0.45,0.2258,13,0.1898,0.2649,0.7428,0.5872,0.2172,0.2602
0.45,0.5,0.2277,13,0.1915,0.2663,0.7441,0.5886,0.2212,0.2589
0.45,0.55,0.2288,13,0.1926,0.2674,0.7451,0.5897,0.2252,0.2569
0.45,0.552,0.2288,13,0.1927,0.2674,0.7452,0.5897,0.2254,0.2568
0.45,0.6,0.2304,13,0.1943,0.2688,0.746,0.5905,0.2305,0.256
0.45,0.65,0.2312,13,0.1953,0.2697,0.7467,0.5913,0.2356,0.2546
0.45,0.7,0.2309,13,0.1955,0.2699,0.7473,0.5918,0.2391,0.2529
0.45,0.8,0.231,13,0.1964,0.2707,0.7482,0.5927,0.2498,0.2504
0.45,0.858,0.2298,13,0.1959,0.2702,0.7486,0.593,0.2534,0.2484
0.45,0.9,0.2293,13,0.1957,0.27,0.7488,0.5932,0.2548,0.2474
0.45,1.0,0.2288,13,0.1959,0.2702,0.7493,0.5935,0.267,0.2455
0.5,0.0,0.2058,13,0.1744,0.2515,0.7138,0.5543,0.1944,0.2633
0.5,0.1,0.2116,13,0.1788,0.2554,0.7258,0.5678,0.1988,0.2646
0.5,0.2,0.2171,13,0.1829,0.2589,0.7344,0.5775,0.2039,0.2644
0.5,0.3,0.222,13,0.1865,0.2621,0.7405,0.5843,0.2098,0.2625
0.5,0.4,0.2267,13,0.1901,0.2652,0.7447,0.589,0.2166,0.2606
0.5,0.45,0.2286,13,0.1917,0.2666,0.7462,0.5907,0.2202,0.259
0.5,0.5,0.2304,13,0.1933,0.268,0.7476,0.5921,0.2241,0.2576
0.5,0.55,0.2314,13,0.1944,0.2689,0.7486,0.5932,0.228,0.2556
0.5,0.552,0.2315,13,0.1945,0.269,0.7487,0.5933,0.2282,0.2556
0.5,0.6,0.2332,13,0.1962,0.2704,0.7495,0.5942,0.2334,0.2548
0.5,0.65,0.2338,13,0.1971,0.2712,0.7503,0.5949,0.2386,0.2533
0.5,0.7,0.2337,13,0.1975,0.2716,0.7509,0.5955,0.2423,0.2517
0.5,0.8,0.2335,13,0.1982,0.2722,0.7518,0.5964,0.2526,0.249
0.5,0.858,0.2323,13,0.1977,0.2717,0.7523,0.5968,0.2558,0.2471
0.5,0.9,0.2317,13,0.1974,0.2715,0.7525,0.597,0.2563,0.246
0.5,1.0,0.2312,13,0.1976,0.2717,0.753,0.5973,0.2676,0.2442
0.55,0.0,0.208,13,0.176,0.253,0.7166,0.5568,0.1978,0.2608
0.55,0.1,0.214,13,0.1805,0.2568,0.7287,0.5705,0.2021,0.2618
0.55,0.2,0.2195,13,0.1846,0.2604,0.7375,0.5804,0.2072,0.2618
0.55,0.3,0.2242,13,0.1881,0.2635,0.7436,0.5874,0.2129,0.2597
0.55,0.4,0.2288,13,0.1917,0.2665,0.748,0.5922,0.2196,0.2579
0.55,0.45,0.2309,13,0.1933,0.268,0.7496,0.5939,0.2233,0.2567
0.55,0.5,0.2325,13,0.1948,0.2692,0.7509,0.5954,0.2271,0.2552
0.55,0.55,0.2333,13,0.1958,0.2701,0.752,0.5966,0.2307,0.2532
0.55,0.552,0.2334,13,0.1959,0.2702,0.7521,0.5967,0.231,0.2532
0.55,0.6,0.235,13,0.1974,0.2715,0.753,0.5976,0.2362,0.2524
0.55,0.65,0.2358,13,0.1985,0.2724,0.7537,0.5984,0.2412,0.2512
0.55,0.7,0.2361,13,0.1992,0.273,0.7544,0.599,0.2462,0.2499
0.55,0.8,0.2358,13,0.1998,0.2736,0.7554,0.5999,0.2567,0.2471
0.55,0.858,0.2347,13,0.1994,0.2732,0.7558,0.6003,0.2589,0.2453
0.55,0.9,0.234,13,0.199,0.2729,0.7561,0.6005,0.2596,0.2441
0.55,1.0,0.2334,13,0.1991,0.273,0.7566,0.6009,0.2723,0.2422
0.552,0.0,0.2081,13,0.1761,0.253,0.7167,0.5569,0.198,0.2607
0.552,0.1,0.2141,13,0.1805,0.2569,0.7289,0.5707,0.2023,0.2618
0.552,0.2,0.2196,13,0.1846,0.2604,0.7376,0.5805,0.2074,0.2617
0.552,0.3,0.2243,13,0.1882,0.2635,0.7438,0.5875,0.2131,0.2596
0.552,0.4,0.2289,13,0.1917,0.2666,0.7481,0.5923,0.2197,0.2577
0.552,0.45,0.2309,13,0.1934,0.268,0.7497,0.5941,0.2234,0.2565
0.552,0.5,0.2326,13,0.1949,0.2693,0.7511,0.5956,0.2272,0.2551
0.552,0.55,0.2334,13,0.1958,0.2701,0.7522,0.5967,0.2309,0.2531
0.552,0.552,0.2335,13,0.1959,0.2702,0.7522,0.5968,0.2311,0.2531
0.552,0.6,0.2351,13,0.1975,0.2716,0.7531,0.5977,0.2364,0.2523
0.552,0.65,0.2359,13,0.1985,0.2725,0.7539,0.5985,0.2414,0.2511
0.552,0.7,0.2362,13,0.1992,0.2731,0.7545,0.5991,0.2463,0.2498
0.552,0.8,0.2359,13,0.1999,0.2736,0.7555,0.6001,0.2569,0.247
0.552,0.858,0.2349,13,0.1994,0.2733,0.756,0.6005,0.2591,0.2452
0.552,0.9,0.2341,13,0.1991,0.2729,0.7562,0.6007,0.2599,0.244
0.552,1.0,0.2335,13,0.1992,0.2731,0.7568,0.601,0.2725,0.2421
0.6,0.0,0.2102,13,0.1777,0.2544,0.7191,0.5591,0.2017,0.2581
0.6,0.1,0.2163,13,0.1822,0.2583,0.7315,0.5731,0.206,0.2591
0.6,0.2,0.2218,13,0.1863,0.2618,0.7404,0.5831,0.211,0.2589
0.6,0.3,0.2265,13,0.1898,0.2649,0.7467,0.5902,0.2166,0.2568
0.6,0.4,0.2308,13,0.1931,0.2678,0.7511,0.5952,0.2231,0.2548
0.6,0.45,0.2328,13,0.1947,0.2692,0.7527,0.597,0.2267,0.2538
0.6,0.5,0.2344,13,0.1962,0.2705,0.7541,0.5985,0.2305,0.2525
0.6,0.55,0.2354,13,0.1973,0.2714,0.7553,0.5997,0.2344,0.2508
0.6,0.552,0.2355,13,0.1973,0.2714,0.7553,0.5998,0.2346,0.2507
0.6,0.6,0.237,13,0.1988,0.2727,0.7562,0.6007,0.2402,0.2499
0.6,0.65,0.2378,13,0.1999,0.2736,0.757,0.6016,0.2457,0.2487
0.6,0.7,0.238,13,0.2004,0.2741,0.7577,0.6022,0.25,0.2473
