arm,class,precision,recall,f1
wet3,Rice,0.6618,0.8093,0.7282
wet3,Cassava,0.4631,0.5208,0.4903
wet3,Pineapple,0.5568,0.5814,0.5688
wet3,Para rubber,0.6305,0.7272,0.6754
wet3,Oil palm,0.6336,0.5535,0.5908
wet3,Durian,0.362,0.2613,0.3035
wet3,Rambutan,0.5504,0.4934,0.5204
wet3,Coconut,0.5132,0.5652,0.5379
wet3,Mango,0.4961,0.6176,0.5502
wet3,Longan,0.4731,0.4462,0.4593
wet3,Jackfruit,0.3833,0.3649,0.3739
wet3,Mangosteen,0.4987,0.3849,0.4345
wet3,Langsat,0.6628,0.4866,0.5612
dry2,Rice,0.4307,0.604,0.5028
dry2,Cassava,0.4225,0.4163,0.4194
dry2,Pineapple,0.5306,0.4994,0.5145
dry2,Para rubber,0.5404,0.5994,0.5684
dry2,Oil palm,0.4764,0.3765,0.4206
dry2,Durian,0.3148,0.1348,0.1888
dry2,Rambutan,0.4859,0.3711,0.4208
dry2,Coconut,0.427,0.5251,0.471
dry2,Mango,0.4436,0.5569,0.4939
dry2,Longan,0.3928,0.4051,0.3989
dry2,Jackfruit,0.3884,0.3362,0.3604
dry2,Mangosteen,0.3247,0.4123,0.3633
dry2,Langsat,0.6165,0.3119,0.4142
all5,Rice,0.6906,0.8183,0.7491
all5,Cassava,0.5199,0.5326,0.5262
all5,Pineapple,0.5955,0.5991,0.5973
all5,Para rubber,0.6547,0.7342,0.6921
all5,Oil palm,0.6877,0.5647,0.6201
all5,Durian,0.4228,0.2857,0.341
all5,Rambutan,0.6049,0.6136,0.6092
all5,Coconut,0.5996,0.6701,0.6329
all5,Mango,0.5637,0.6766,0.615
all5,Longan,0.549,0.5598,0.5543
all5,Jackfruit,0.4721,0.4373,0.454
all5,Mangosteen,0.5504,0.5271,0.5385
all5,Langsat,0.8,0.5874,0.6774
