,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.959,0.0,0.4822,0.7422,0.8211,0.7877,0.7
Rambutan,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
Mango,0.0043,0.0,0.4559,0.0195,0.0114,0.0,0.0
Longan,0.0078,0.0,0.0094,0.168,0.013,0.0205,0.0
Jackfruit,0.019,0.0,0.0413,0.0469,0.1447,0.0685,0.1
Mangosteen,0.0075,0.0,0.0113,0.0234,0.0098,0.1233,0.05
Langsat,0.0005,0.0,0.0,0.0,0.0,0.0,0.15
