,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,56988,4481,2109,19353,989,598,0,113,13,18,29,0,0,4312,53179,1372
Cassava,7303,232061,79051,128367,3985,2785,0,806,36,35,60,1,0,1811,95631,8313
Pineapple,4426,82604,227794,84792,4537,2603,0,1234,27,6,40,0,0,650,63841,3035
Para rubber,32570,314216,255330,9562228,80998,75939,0,20669,173,515,522,14,4,12866,675527,929150
Oil palm,1463,11552,11216,77353,111682,8571,0,1752,60,73,73,5,0,1006,18343,61207
Durian,669,3766,1850,46758,4520,30822,0,308,8,28,140,3,0,1158,26561,10251
Rambutan,17,44,38,388,66,54,0,0,0,0,0,0,0,4,431,776
Coconut,214,823,846,1901,386,340,0,330,3,2,1,0,0,60,3099,643
Mango,115,2696,805,3259,186,166,0,49,30,2,2,0,0,42,15823,5473
Longan,19,217,71,867,183,290,0,11,0,10,0,2,0,50,1521,895
Jackfruit,106,633,318,2604,338,659,0,22,0,3,32,0,0,54,1725,1061
Mangosteen,126,42,83,582,102,311,0,4,0,2,0,0,0,36,2854,1794
Langsat,0,9,5,132,3,13,0,0,0,0,0,0,0,0,151,151
Reservoir,2768,1182,1901,6102,1447,364,0,84,11,3,5,0,0,429851,24591,9548
Others,79110,311893,167390,639091,51443,83343,0,7975,333,356,684,99,4,211678,3175755,317571
Forest,862,2620,1389,94571,20842,3871,0,201,27,41,22,22,0,4297,56053,1842146
