,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,0.1755,0.0022,0.0012,0.0003,0.0009,0.0047,0.0165,0.0057,0.0096,0.0051,0.004,0.0044,0.0084,0.0065,0.0074
Cassava,0.0536,0.2037,0.0888,0.0021,0.004,0.0241,0.0208,0.0195,0.0456,0.0164,0.0348,0.0104,0.0149,0.0027,0.014
Pineapple,0.0316,0.0719,0.2556,0.001,0.0027,0.0148,0.009,0.0095,0.0316,0.011,0.0204,0.016,0.0106,0.001,0.009
Para rubber,0.2916,0.4229,0.465,0.9754,0.8259,0.6066,0.5486,0.7219,0.4544,0.411,0.6455,0.5115,0.5292,0.0193,0.2166
Oil palm,0.009,0.0116,0.0144,0.0016,0.0875,0.03,0.0477,0.0105,0.0551,0.2468,0.0727,0.1027,0.0434,0.0015,0.0107
Durian,0.0041,0.0034,0.002,0.0005,0.0009,0.0631,0.0235,0.0017,0.0111,0.0245,0.0289,0.0472,0.0385,0.0017,0.005
Rambutan,0.0001,0.0,0.0001,0.0,0.0002,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0002
Coconut,0.001,0.0008,0.0009,0.0,0.0,0.0006,0.0007,0.0003,0.0038,0.0014,0.0015,0.0007,0.0006,0.0001,0.0005
Mango,0.0009,0.0024,0.001,0.0001,0.0003,0.0001,0.0002,0.0039,0.0024,0.0002,0.0002,0.0001,0.0002,0.0001,0.0029
Longan,0.0002,0.0003,0.0001,0.0,0.0001,0.0003,0.0001,0.0003,0.0001,0.002,0.0002,0.0005,0.0004,0.0001,0.0003
Jackfruit,0.0007,0.0007,0.0005,0.0001,0.0005,0.001,0.0003,0.0005,0.0005,0.001,0.0035,0.001,0.0011,0.0001,0.0004
Mangosteen,0.0005,0.0001,0.0002,0.0,0.0001,0.0003,0.0003,0.0001,0.0001,0.0004,0.0001,0.0017,0.0005,0.0001,0.0006
Langsat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0
Reservoir,0.0099,0.0011,0.002,0.0001,0.001,0.0015,0.0023,0.0019,0.006,0.0029,0.0026,0.0019,0.0022,0.6436,0.0046
Others,0.4213,0.2789,0.1683,0.0188,0.0758,0.2526,0.3298,0.2244,0.3797,0.2772,0.1855,0.3018,0.3494,0.3234,0.7278
