,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,52141,3615,1972,26013,763,146,0,25,0,3,13,0,0,4312,54551
Cassava,5467,185754,68201,190672,3217,782,0,377,0,5,14,1,0,1811,103944
Pineapple,3523,64952,197109,136869,4327,715,0,556,0,2,10,0,0,650,66876
Para rubber,21008,190638,169173,9868687,62025,22283,0,9197,0,67,99,1,0,12866,1604677
Oil palm,1054,7243,8114,98166,105719,2809,0,664,0,11,18,2,0,1006,79550
Durian,423,2329,1239,63816,4976,15884,0,131,0,4,69,1,0,1158,36812
Rambutan,6,32,28,450,62,29,0,0,0,0,0,0,0,4,1207
Coconut,141,565,659,2893,385,88,0,115,0,0,0,0,0,60,3742
Mango,85,2097,669,4261,135,40,0,19,1,1,2,0,0,42,21296
Longan,12,131,47,1144,167,162,0,6,0,1,0,0,0,50,2416
Jackfruit,68,381,198,3354,314,372,0,8,0,1,19,0,0,54,2786
Mangosteen,111,15,47,775,112,188,0,3,0,1,0,0,0,36,4648
Langsat,0,6,3,144,4,5,0,0,0,0,0,0,0,0,302
Reservoir,2437,808,1505,7670,1309,96,0,42,0,0,0,0,0,429851,34139
Others,62491,239113,142903,920937,60696,36589,0,3156,0,56,217,31,0,215975,5391525
