,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others
Rice,59429,2771,1378,15949,1482,492,0,3024,70,34,40,7,15,4312,54551
Cassava,12087,228790,77538,113752,6986,2251,7,12420,262,112,241,30,14,1811,103944
Pineapple,7804,81729,225291,72663,6085,2222,1,11815,212,56,142,32,11,650,66876
Para rubber,48976,303212,249928,9222055,253887,68304,30,187953,1948,2282,2985,1299,319,12866,1604677
Oil palm,2008,11276,10947,50396,123511,6907,9,16880,559,580,488,198,41,1006,79550
Durian,953,3605,1727,39625,6826,28976,12,5135,129,432,739,605,108,1158,36812
Rambutan,21,42,36,305,126,51,1,23,0,0,1,1,0,4,1207
Coconut,290,810,783,912,263,263,0,1442,49,15,13,6,0,60,3742
Mango,180,2657,779,2361,373,64,0,760,124,4,6,1,1,42,21296
Longan,28,212,67,737,237,240,0,87,2,40,4,16,0,50,2416
Jackfruit,149,601,307,2199,470,505,1,295,8,21,127,27,5,54,2786
Mangosteen,132,40,79,485,133,247,1,70,0,11,7,46,1,36,4648
Langsat,1,8,5,115,15,9,0,5,0,0,1,0,3,0,302
Reservoir,3038,1089,1724,4551,1726,270,1,1356,55,27,22,7,1,429851,34139
Others,105092,299256,158916,585496,109812,76330,161,118815,3307,2579,2497,3009,919,215975,5391525
