,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,15884,0,0,4,69,1,0
Rambutan,29,0,0,0,0,0,0
Mango,40,0,1,1,2,0,0
Longan,162,0,0,1,0,0,0
Jackfruit,372,0,0,1,19,0,0
Mangosteen,188,0,0,1,0,0,0
Langsat,5,0,0,0,0,0,0
