,Durian,Rambutan,Mango,Longan,Jackfruit,Mangosteen,Langsat
Durian,0.9942,0.0,0.0003,0.0009,0.0045,0.0001,0.0
Rambutan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mango,0.83,0.0,0.15,0.01,0.01,0.0,0.0
Longan,0.9603,0.0,0.0,0.0331,0.0,0.0066,0.0
Jackfruit,0.9496,0.0,0.0,0.0043,0.0461,0.0,0.0
Mangosteen,0.9936,0.0,0.0,0.0064,0.0,0.0,0.0
Langsat,1.0,0.0,0.0,0.0,0.0,0.0,0.0
