,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,0.3632,0.0252,0.0137,0.1812,0.0053,0.001,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,0.03,0.3704,0.0096
Cassava,0.0098,0.3316,0.1217,0.3403,0.0057,0.0014,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0032,0.1707,0.0148
Pineapple,0.0074,0.1366,0.4145,0.2878,0.0091,0.0015,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0014,0.1342,0.0064
Para rubber,0.0018,0.0159,0.0141,0.8251,0.0052,0.0019,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0011,0.0565,0.0777
Oil palm,0.0035,0.0238,0.0267,0.3225,0.3474,0.0092,0.0,0.0022,0.0,0.0,0.0001,0.0,0.0,0.0033,0.0603,0.2011
Durian,0.0033,0.0184,0.0098,0.5031,0.0392,0.1252,0.0,0.001,0.0,0.0,0.0005,0.0,0.0,0.0091,0.2094,0.0808
Rambutan,0.0033,0.0176,0.0154,0.2475,0.0341,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.2371,0.4268
Coconut,0.0163,0.0653,0.0762,0.3345,0.0445,0.0102,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0069,0.3583,0.0744
Mango,0.003,0.0732,0.0234,0.1487,0.0047,0.0014,0.0,0.0007,0.0,0.0,0.0001,0.0,0.0,0.0015,0.5523,0.191
Longan,0.0029,0.0317,0.0114,0.2766,0.0404,0.0392,0.0,0.0015,0.0,0.0002,0.0,0.0,0.0,0.0121,0.3677,0.2164
Jackfruit,0.009,0.0504,0.0262,0.4439,0.0416,0.0492,0.0,0.0011,0.0,0.0001,0.0025,0.0,0.0,0.0071,0.2283,0.1404
Mangosteen,0.0187,0.0025,0.0079,0.1306,0.0189,0.0317,0.0,0.0005,0.0,0.0002,0.0,0.0,0.0,0.0061,0.4808,0.3022
Langsat,0.0,0.0129,0.0065,0.3103,0.0086,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3254,0.3254
Reservoir,0.0051,0.0017,0.0031,0.0161,0.0027,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.8995,0.0515,0.02
Others,0.0122,0.047,0.0281,0.1623,0.0086,0.0069,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0419,0.6293,0.0629
Forest,0.0003,0.0008,0.0005,0.0503,0.0085,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0277,0.9088
