,Rice,Cassava,Pineapple,Para rubber,Oil palm,Durian,Rambutan,Coconut,Mango,Longan,Jackfruit,Mangosteen,Langsat,Reservoir,Others,Forest
Rice,55629,4275,2095,21267,916,401,0,74,2,10,22,0,0,4312,53179,1372
Cassava,6697,220146,76286,144883,3789,1964,0,664,5,16,39,1,0,1811,95631,8313
Pineapple,4131,78096,220230,98141,4544,1882,0,1008,4,3,24,0,0,650,63841,3035
Para rubber,28694,276568,229093,9661702,75526,53767,0,17132,42,321,324,7,2,12866,675527,929150
Oil palm,1344,10448,10349,83477,110367,6315,0,1388,17,42,49,4,0,1006,18343,61207
Durian,594,3321,1665,52232,4746,25920,0,266,1,12,112,3,0,1158,26561,10251
Rambutan,14,40,37,409,68,39,0,0,0,0,0,0,0,4,431,776
Coconut,192,760,799,2210,395,231,0,257,1,1,0,0,0,60,3099,643
Mango,100,2551,771,3544,164,123,0,41,13,2,1,0,0,42,15823,5473
Longan,18,191,65,930,182,267,0,8,0,8,0,1,0,50,1521,895
Jackfruit,97,563,284,2821,341,560,0,21,0,1,27,0,0,54,1725,1061
Mangosteen,120,32,76,644,111,265,0,2,0,2,0,0,0,36,2854,1794
Langsat,0,9,4,135,4,10,0,0,0,0,0,0,0,0,151,151
Reservoir,2694,1082,1801,6518,1434,266,0,66,2,2,2,0,0,429851,24591,9548
Others,73585,291889,160802,692343,49788,66119,0,6315,79,221,505,72,3,211678,3175755,317571
Forest,818,2341,1297,96876,19842,3099,0,149,1,20,15,10,0,4297,56053,1842146
